pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
2,0,2,TRSM(2;0),1777199253060907278,1777199253064892686,1777199253058398478
2,0,6,TRSM(6;0),1777199253060907278,1777199253066443022,1777199253058418958
2,0,10,TRSM(10;0),1777199253060907278,1777199253067986190,1777199253058435342
2,0,14,TRSM(14;0),1777199253060908302,1777199253091979534,1777199253058449678
2,0,18,GEMM(3;1;0),1777199253068882190,1777199253114821902,1777199253058464014
2,0,46,GEMM(4;3;0),1777199253068883214,1777199253138798862,1777199253058482446
2,0,58,SYRK(4;4;0),1777199253064336654,1777199253068836110,1777199253058496782
2,0,34,GEMM(5;2;0),1777199253066281230,1777199253094695182,1777199253064903950
2,0,70,SYRK(5;5;0),1777199253066281230,1777199253116670222,1777199253058522382
2,0,22,GEMM(7;1;0),1777199253066445070,1777199253141777678,1777199253066441998
2,0,82,GEMM(7;6;0),1777199253066511630,1777199253072815374,1777199253066478862
2,0,50,GEMM(8;3;0),1777199253091982606,1777199253097561358,1777199253091978510
2,0,62,GEMM(8;4;0),1777199253114823950,1777199253120312590,1777199253114819854
2,0,38,GEMM(9;2;0),1777199253067985166,1777199253145144590,1777199253064903950
2,0,74,GEMM(9;5;0),1777199253068868878,1777199253076525326,1777199253068835086
2,0,94,GEMM(10;7;0),1777199253068023054,1777199253100718350,1777199253068018958
2,0,102,GEMM(10;8;0),1777199253068023054,1777199253123445006,1777199253068019982
2,0,26,GEMM(11;1;0),1777199253141778702,1777199253148779790,1777199253141775630
2,0,86,GEMM(11;6;0),1777199253066511630,1777199253080238350,1777199253066478862
2,0,110,GEMM(11;9;0),1777199253097584910,1777199253103927566,1777199253097561358
2,0,54,GEMM(12;3;0),1777199253120338190,1777199253126498574,1777199253120312590
2,0,66,GEMM(12;4;0),1777199253145146638,1777199253151979790,1777199253145142542
2,0,122,GEMM(12;11;0),1777199253076551950,1777199253083517198,1777199253076524302
2,0,126,SYRK(12;12;0),1777199253100720398,1777199253105587470,1777199253100716302
2,0,42,GEMM(13;2;0),1777199253068994830,1777199253129820430,1777199253064904974
2,0,78,GEMM(13;5;0),1777199253148807438,1777199253155059982,1777199253148778766
2,0,118,GEMM(13;10;0),1777199253068995854,1777199253086736654,1777199253068019982
2,0,130,SYRK(13;13;0),1777199253103930638,1777199253107957006,1777199253103927566
2,0,98,GEMM(14;7;0),1777199253092033806,1777199253132964110,1777199253092007182
2,0,106,GEMM(14;8;0),1777199253092033806,1777199253158212878,1777199253092007182
2,0,30,GEMM(15;1;0),1777199253083545870,1777199253090024718,1777199253083517198
2,0,90,GEMM(15;6;0),1777199253068073230,1777199253111550222,1777199253066478862
2,0,114,GEMM(15;9;0),1777199253129822478,1777199253135939854,1777199253129819406
2,0,134,GEMM(15;14;0),1777199253092032782,1777199253161347342,1777199253092007182
2,0,138,TRSM(3;1),1777199253114856718,1777199253171373326,1777199253114854670
2,0,142,TRSM(7;1),1777199253141804302,1777199253173349646,1777199253141801230
2,0,146,TRSM(11;1),1777199253148812558,1777199253196468494,1777199253148808462
2,0,150,TRSM(15;1),1777199253100917006,1777199253164523790,1777199253090054414
2,0,166,GEMM(4;3;1),1777199253171416334,1777199253241890062,1777199253171412238
2,0,178,SYRK(4;4;1),1777199253136072974,1777199253174331662,1777199253068869902
2,0,154,GEMM(5;2;1),1777199253135446286,1777199253198562574,1777199253094728974
2,0,190,SYRK(5;5;1),1777199253116698894,1777199253164814606,1777199253116694798
2,0,202,GEMM(7;6;1),1777199253173388558,1777199253244623118,1777199253173383438
2,0,170,GEMM(8;3;1),1777199253171417358,1777199253177954574,1777199253171412238
2,0,182,GEMM(8;4;1),1777199253162406158,1777199253201640718,1777199253120338190
2,0,158,GEMM(9;2;1),1777199253145179406,1777199253168667918,1777199253145176334
2,0,194,GEMM(9;5;1),1777199253104189710,1777199253247799566,1777199253076552974
2,0,214,GEMM(10;7;1),1777199253173387534,1777199253180883214,1777199253173383438
2,0,222,GEMM(10;8;1),1777199253163228430,1777199253204421902,1777199253123456270
2,0,206,GEMM(11;6;1),1777199253196505358,1777199253221250318,1777199253196500238
2,0,230,GEMM(11;9;1),1777199253196505358,1777199253250867470,1777199253196500238
2,0,174,GEMM(12;3;1),1777199253172328718,1777199253184439566,1777199253171412238
2,0,186,GEMM(12;4;1),1777199253172328718,1777199253207265550,1777199253152011534
