pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
0,0,180,GEMM(6,4,1),1777921384147345408,1777921384436754432,1777921384147342336
0,0,181,GEMM(7,4,1),1777921384436762624,1777921384743617536,1777921384436758528
0,0,182,GEMM(8,4,1),1777921384743624704,1777921385031625728,1777921384743620608
0,0,183,GEMM(9,4,1),1777921385031632896,1777921385338482688,1777921385031628800
0,0,184,GEMM(10,4,1),1777921385338489856,1777921385627959296,1777921385338485760
0,0,185,GEMM(11,4,1),1777921385627967488,1777921385934740480,1777921385627963392
0,0,186,GEMM(12,4,1),1777921385934748672,1777921386222691328,1777921385934744576
0,0,187,GEMM(13,4,1),1777921386222698496,1777921386529606656,1777921386222694400
0,0,188,GEMM(14,4,1),1777921386529613824,1777921386819014656,1777921386529610752
0,0,189,GEMM(15,4,1),1777921386819022848,1777921387125735424,1777921386819018752
0,0,201,SYRK(6,6,1),1777921387125742592,1777921387275283456,1777921387125739520
0,0,202,GEMM(7,6,1),1777921387275290624,1777921387585028096,1777921387275286528
0,0,203,GEMM(8,6,1),1777921387585035264,1777921387869421568,1777921387585032192
0,0,204,GEMM(9,6,1),1777921387869428736,1777921388179212288,1777921387869424640
0,0,205,GEMM(10,6,1),1777921388179220480,1777921388474998784,1777921388179216384
0,0,206,GEMM(11,6,1),1777921388475006976,1777921388784778240,1777921388475001856
0,0,207,GEMM(12,6,1),1777921388784785408,1777921389069158400,1777921388784781312
0,0,208,GEMM(13,6,1),1777921389069164544,1777921389378897920,1777921389069160448
0,0,209,GEMM(14,6,1),1777921389378906112,1777921389674621952,1777921389378902016
0,0,210,GEMM(15,6,1),1777921389674630144,1777921389984334848,1777921389674626048
0,0,220,SYRK(8,8,1),1777921389984342016,1777921390129770496,1777921389984337920
0,0,221,GEMM(9,8,1),1777921390129777664,1777921390436797440,1777921390129773568
0,0,222,GEMM(10,8,1),1777921390436805632,1777921390726281216,1777921390436801536
0,0,223,GEMM(11,8,1),1777921390726288384,1777921391033107456,1777921390726284288
0,0,224,GEMM(12,8,1),1777921391033114624,1777921391321035776,1777921391033110528
0,0,225,GEMM(13,8,1),1777921391321043968,1777921391628064768,1777921391321039872
0,0,226,GEMM(14,8,1),1777921391628071936,1777921391917568000,1777921391628067840
0,0,227,GEMM(15,8,1),1777921391917576192,1777921392224578560,1777921391917572096
0,0,235,SYRK(10,10,1),1777921392224585728,1777921392374256640,1777921392224581632
0,0,236,GEMM(11,10,1),1777921392374263808,1777921392684077056,1777921392374260736
0,0,237,GEMM(12,10,1),1777921392684084224,1777921392968454144,1777921392684081152
0,0,238,GEMM(13,10,1),1777921392968461312,1777921393278177280,1777921392968457216
0,0,239,GEMM(14,10,1),1777921393278185472,1777921393573907456,1777921393278181376
0,0,240,GEMM(15,10,1),1777921393573914624,1777921393883671552,1777921393573910528
0,0,246,SYRK(12,12,1),1777921393883678720,1777921394029077504,1777921393883675648
0,0,247,GEMM(13,12,1),1777921394029084672,1777921394336025600,1777921394029081600
0,0,248,GEMM(14,12,1),1777921394336033792,1777921394625497088,1777921394336029696
0,0,249,GEMM(15,12,1),1777921394625504256,1777921394932347904,1777921394625500160
0,0,253,SYRK(14,14,1),1777921394932355072,1777921395081933824,1777921394932350976
0,0,254,GEMM(15,14,1),1777921395081939968,1777921395391630336,1777921395081935872
0,0,256,POTRF(2),1777921395391633408,1777921395408533504,0
0,0,257,TRSM(3,2),1777921395408535552,1777921395455492096,0
0,0,258,TRSM(4,2),1777921395455498240,1777921395502599168,0
0,0,259,TRSM(5,2),1777921395502606336,1777921395549762560,0
0,0,260,TRSM(6,2),1777921395549769728,1777921395596823552,0
0,0,261,TRSM(7,2),1777921395596830720,1777921395643834368,0
0,0,262,TRSM(8,2),1777921395643843584,1777921395690925056,0
0,0,263,TRSM(9,2),1777921395690933248,1777921395737955328,0
0,0,264,TRSM(10,2),1777921395737964544,1777921395784987648,0
0,0,265,TRSM(11,2),1777921395784995840,1777921395831988224,0
0,0,266,TRSM(12,2),1777921395831996416,1777921395879071744,0
0,0,267,TRSM(13,2),1777921395879079936,1777921395926120448,0
0,0,268,TRSM(14,2),1777921395926127616,1777921395973050368,0
0,0,269,TRSM(15,2),1777921395973058560,1777921396020075520,0
0,0,283,SYRK(4,4,2),1777921396020083712,1777921396061872128,0
0,0,284,GEMM(5,4,2),1777921396061876224,1777921396141175808,0
0,0,285,GEMM(6,4,2),1777921396141178880,1777921396220483584,0
0,0,286,GEMM(7,4,2),1777921396220487680,1777921396299793408,0
0,0,287,GEMM(8,4,2),1777921396299796480,1777921396379095040,0
0,0,288,GEMM(9,4,2),1777921396379099136,1777921396458404864,0
0,0,289,GEMM(10,4,2),1777921396458407936,1777921396537706496,0
0,0,290,GEMM(11,4,2),1777921396537710592,1777921396617025536,0
0,0,291,GEMM(12,4,2),1777921396617028608,1777921396696334336,0
0,0,292,GEMM(13,4,2),1777921396696337408,1777921396775647232,0
0,0,293,GEMM(14,4,2),1777921396775650304,1777921396854949888,0
0,0,294,GEMM(15,4,2),1777921396854952960,1777921396934250496,0
0,0,306,SYRK(6,6,2),1777921396934254592,1777921396976045056,0
0,0,307,GEMM(7,6,2),1777921396976048128,1777921397055338496,0
0,0,308,GEMM(8,6,2),1777921397055342592,1777921397134635008,0
0,0,309,GEMM(9,6,2),1777921397134638080,1777921397213939712,0
0,0,310,GEMM(10,6,2),1777921397213942784,1777921397293245440,0
0,0,311,GEMM(11,6,2),1777921397293248512,1777921397372542976,0
0,0,312,GEMM(12,6,2),1777921397372546048,1777921397451841536,0
0,0,313,GEMM(13,6,2),1777921397451844608,1777921397531157504,0
0,0,314,GEMM(14,6,2),1777921397531160576,1777921397610468352,0
0,0,315,GEMM(15,6,2),1777921397610471424,1777921397689768960,0
0,0,325,SYRK(8,8,2),1777921397689772032,1777921397731555328,0
0,0,326,GEMM(9,8,2),1777921397731558400,1777921397810860032,0
0,0,327,GEMM(10,8,2),1777921397810863104,1777921397890163712,0
0,0,328,GEMM(11,8,2),1777921397890167808,1777921397969465344,0
0,0,329,GEMM(12,8,2),1777921397969468416,1777921398048759808,0
0,0,330,GEMM(13,8,2),1777921398048763904,1777921398128057344,0
0,0,331,GEMM(14,8,2),1777921398128060416,1777921398207357952,0
0,0,332,GEMM(15,8,2),1777921398207362048,1777921398286659584,0
0,0,340,SYRK(10,10,2),1777921398286663680,1777921398328452096,0
0,0,341,GEMM(11,10,2),1777921398328456192,1777921398407766016,0
0,0,342,GEMM(12,10,2),1777921398407769088,1777921398487069696,0
0,0,343,GEMM(13,10,2),1777921398487072768,1777921398566369280,0
0,0,344,GEMM(14,10,2),1777921398566372352,1777921398645671936,0
0,0,345,GEMM(15,10,2),1777921398645675008,1777921398724984832,0
0,0,351,SYRK(12,12,2),1777921398724987904,1777921398766772224,0
0,0,352,GEMM(13,12,2),1777921398766775296,1777921398846073856,0
0,0,353,GEMM(14,12,2),1777921398846076928,1777921398925364224,0
0,0,354,GEMM(15,12,2),1777921398925367296,1777921399004667904,0
0,0,358,SYRK(14,14,2),1777921399004672000,1777921399046458368,0
0,0,359,GEMM(15,14,2),1777921399046461440,1777921399125750784,0
0,0,374,SYRK(4,4,3),1777921409665778688,1777921409811266560,1777921399125753856
0,0,375,GEMM(5,4,3),1777921409811273728,1777921410118060032,1777921409811269632
0,0,376,GEMM(6,4,3),1777921410118067200,1777921410407609344,1777921410118064128
0,0,377,GEMM(7,4,3),1777921410407616512,1777921410714383360,1777921410407613440
0,0,378,GEMM(8,4,3),1777921410714390528,1777921411002437632,1777921410714387456
0,0,379,GEMM(9,4,3),1777921411002444800,1777921411309321216,1777921411002440704
0,0,380,GEMM(10,4,3),1777921411309329408,1777921411598785536,1777921411309325312
0,0,381,GEMM(11,4,3),1777921411598793728,1777921411905666048,1777921411598789632
0,0,382,GEMM(12,4,3),1777921411905674240,1777921412193637376,1777921411905670144
0,0,383,GEMM(13,4,3),1777921412193644544,1777921412500564992,1777921412193640448
0,0,384,GEMM(14,4,3),1777921412500573184,1777921412789995520,1777921412500569088
