timestamp,datetime,power_w,total_energy_mj,gpu_freq_mhz,mem_freq_mhz,temperature_c,gpu_util_pct,mem_util_pct
1774383408.1242266,2026-03-24T21:16:48.124227,16.065,1886989,210,405,32,0,0
1774383408.1521459,2026-03-24T21:16:48.152146,16.065,1886989,210,405,32,0,0
1774383408.1672497,2026-03-24T21:16:48.167250,16.065,1888592,210,405,32,0,0
1774383408.1803827,2026-03-24T21:16:48.180383,16.065,1888592,210,405,32,0,0
1774383408.193465,2026-03-24T21:16:48.193465,16.065,1888592,210,405,32,0,0
1774383408.2065747,2026-03-24T21:16:48.206575,16.065,1888592,210,405,32,0,0
1774383408.221919,2026-03-24T21:16:48.221919,16.065,1888592,210,405,32,0,0
1774383408.2381923,2026-03-24T21:16:48.238192,16.065,1888592,210,405,32,0,0
1774383408.2524917,2026-03-24T21:16:48.252492,16.065,1888592,210,405,32,0,0
1774383408.2698648,2026-03-24T21:16:48.269865,16.065,1890197,210,405,32,0,0
1774383408.2834446,2026-03-24T21:16:48.283445,16.065,1890197,210,405,32,0,0
1774383408.2995543,2026-03-24T21:16:48.299554,16.065,1890197,210,405,32,0,0
1774383408.3136115,2026-03-24T21:16:48.313612,16.065,1890197,210,405,32,0,0
1774383408.3267987,2026-03-24T21:16:48.326799,16.065,1890197,210,405,32,0,0
1774383408.339921,2026-03-24T21:16:48.339921,16.065,1890197,210,405,32,0,0
1774383408.3530426,2026-03-24T21:16:48.353043,16.065,1890197,210,405,32,0,0
1774383408.3739417,2026-03-24T21:16:48.373942,16.065,1891800,210,405,32,0,0
1774383408.387592,2026-03-24T21:16:48.387592,16.065,1891800,210,405,32,0,0
1774383408.4020402,2026-03-24T21:16:48.402040,16.065,1891800,210,405,32,0,0
1774383408.415831,2026-03-24T21:16:48.415831,16.065,1891800,210,405,32,0,0
1774383408.4301186,2026-03-24T21:16:48.430119,16.065,1891800,210,405,32,0,0
1774383408.4437532,2026-03-24T21:16:48.443753,16.065,1891800,210,405,32,0,0
1774383408.4607697,2026-03-24T21:16:48.460770,16.065,1891800,210,405,32,0,0
1774383408.474317,2026-03-24T21:16:48.474317,16.065,1893400,210,405,32,0,0
1774383408.487597,2026-03-24T21:16:48.487597,16.065,1893400,210,405,32,0,0
1774383408.5060802,2026-03-24T21:16:48.506080,16.065,1893400,210,405,32,0,0
1774383408.5343893,2026-03-24T21:16:48.534389,16.065,1893400,210,405,32,0,0
1774383408.5487366,2026-03-24T21:16:48.548737,16.065,1893400,210,405,32,0,0
1774383408.5670094,2026-03-24T21:16:48.567009,16.065,1895002,210,405,32,0,0
1774383408.5808737,2026-03-24T21:16:48.580874,16.065,1895002,210,405,32,0,0
1774383408.608511,2026-03-24T21:16:48.608511,16.065,1895002,210,405,32,0,0
1774383408.6277835,2026-03-24T21:16:48.627784,16.065,1895002,210,405,32,0,0
1774383408.643257,2026-03-24T21:16:48.643257,16.065,1895002,210,405,32,0,0
1774383408.6577682,2026-03-24T21:16:48.657768,16.065,1895002,210,405,32,0,0
1774383408.6747413,2026-03-24T21:16:48.674741,16.065,1896603,210,405,32,0,0
1774383408.6902378,2026-03-24T21:16:48.690238,16.065,1896603,210,405,32,0,0
1774383408.7064376,2026-03-24T21:16:48.706438,16.065,1896603,210,405,32,0,0
1774383408.7200253,2026-03-24T21:16:48.720025,16.065,1896603,210,405,32,0,0
1774383408.736033,2026-03-24T21:16:48.736033,16.065,1896603,210,405,32,0,0
1774383408.7494352,2026-03-24T21:16:48.749435,16.065,1896603,210,405,32,0,0
1774383408.7626147,2026-03-24T21:16:48.762615,16.065,1896603,210,405,32,0,0
1774383408.7768378,2026-03-24T21:16:48.776838,16.065,1898204,210,405,32,0,0
1774383408.7901073,2026-03-24T21:16:48.790107,16.065,1898204,210,405,32,0,0
1774383408.8037946,2026-03-24T21:16:48.803795,16.065,1898204,210,405,32,0,0
1774383408.8171277,2026-03-24T21:16:48.817128,16.065,1898204,210,405,32,0,0
1774383408.8301973,2026-03-24T21:16:48.830197,16.065,1898204,210,405,32,0,0
1774383408.843469,2026-03-24T21:16:48.843469,16.065,1898204,210,405,32,0,0
1774383408.856621,2026-03-24T21:16:48.856621,16.065,1898204,210,405,32,0,0
1774383408.869803,2026-03-24T21:16:48.869803,16.065,1899806,210,405,32,0,0
1774383408.8834794,2026-03-24T21:16:48.883479,16.065,1899806,210,405,32,0,0
1774383408.8966274,2026-03-24T21:16:48.896627,16.064,1899806,210,405,32,0,0
1774383408.9097736,2026-03-24T21:16:48.909774,16.064,1899806,210,405,32,0,0
1774383408.9229748,2026-03-24T21:16:48.922975,16.064,1899806,210,405,32,0,0
1774383408.9361928,2026-03-24T21:16:48.936193,16.064,1899806,210,405,32,0,0
1774383408.9523237,2026-03-24T21:16:48.952324,16.064,1899806,210,405,32,0,0
1774383408.965867,2026-03-24T21:16:48.965867,16.064,1901407,210,405,32,0,0
1774383408.9789386,2026-03-24T21:16:48.978939,16.064,1901407,210,405,32,0,0
1774383408.9920194,2026-03-24T21:16:48.992019,16.064,1901407,210,405,32,0,0
1774383409.004827,2026-03-24T21:16:49.004827,16.064,1901407,210,405,32,0,0
1774383409.0180948,2026-03-24T21:16:49.018095,16.064,1901407,210,405,32,0,0
1774383409.0324244,2026-03-24T21:16:49.032424,16.064,1901407,210,405,32,0,0
1774383409.0462046,2026-03-24T21:16:49.046205,16.064,1901407,210,405,32,0,0
1774383409.0592716,2026-03-24T21:16:49.059272,16.064,1901407,210,405,32,0,0
1774383409.0730038,2026-03-24T21:16:49.073004,16.064,1903008,210,405,32,0,0
1774383409.087327,2026-03-24T21:16:49.087327,16.064,1903008,210,405,32,0,0
1774383409.1003046,2026-03-24T21:16:49.100305,16.064,1903008,210,405,32,0,0
1774383409.1132522,2026-03-24T21:16:49.113252,16.064,1903008,210,405,32,0,0
1774383409.1263402,2026-03-24T21:16:49.126340,16.064,1903008,210,405,32,0,0
1774383409.1394823,2026-03-24T21:16:49.139482,16.064,1903008,210,405,32,0,0
1774383409.1523085,2026-03-24T21:16:49.152308,16.064,1903008,210,405,32,0,0
