op_name,op_type,locality,median_ns_240,relative_240,median_ns_285,relative_285,median_ns_330,relative_330,median_ns_375,relative_375,median_ns_420,relative_420,median_ns_465,relative_465,median_ns_510,relative_510,median_ns_555,relative_555,median_ns_600,relative_600,median_ns_645,relative_645,median_ns_690,relative_690,median_ns_735,relative_735,median_ns_780,relative_780,median_ns_825,relative_825,median_ns_870,relative_870,median_ns_915,relative_915,median_ns_960,relative_960,median_ns_1005,relative_1005,median_ns_1050,relative_1050,median_ns_1095,relative_1095,median_ns_1140,relative_1140,median_ns_1185,relative_1185,median_ns_1230,relative_1230,median_ns_1275,relative_1275,median_ns_1320,relative_1320,median_ns_1365,relative_1365,median_ns_1410,relative_1410,median_ns_1455,relative_1455,median_ns_1500,relative_1500,median_ns_1545,relative_1545,median_ns_1590,relative_1590,median_ns_1635,relative_1635,median_ns_1680,relative_1680,median_ns_1725,relative_1725,median_ns_1770,relative_1770,median_ns_1815,relative_1815,median_ns_1860,relative_1860,median_ns_1905,relative_1905,median_ns_1950,relative_1950,median_ns_1995,relative_1995,median_ns_2040,relative_2040,pct_change_low_to_high
GEMM(10;10;0),GEMM,remote,317605888.0,1.0,340464640.0,1.071972066210561,295281664.0,0.9297109252584134,281886720.0,0.8875361907648261,279337984.0,0.8795113521321116,232932352.0,0.7334006100038044,228826112.0,0.7204718824356304,248665088.0,0.7829360140829631,278745088.0,0.8776445857326172,259704832.0,0.8176952689239817,273277952.0,0.8604310005738937,270727168.0,0.8523997136980029,290799616.0,0.9155989450674163,218413056.0,0.6876857900065128,247146496.0,0.7781546417678503,231234560.0,0.7280550164107789,273906688.0,0.8624106112289707,276908032.0,0.8718605116036136,283347968.0,0.8921370122710067,259778560.0,0.8179274056783229,272619520.0,0.8583578903927624,233257984.0,0.7344258806688118,243696640.0,0.7672925761376314,297108480.0,0.9354627581715361,234807296.0,0.7393039766315668,236841984.0,0.7457103062270685,249939968.0,0.7869500454601144,257913856.0,0.8120562802664414,276501504.0,0.8705805353331485,297314304.0,0.9361108066107389,286955520.0,0.9034955926257892,237638656.0,0.7482186728225895,258210816.0,0.8129912755269827,302835712.0,0.9534952702136303,245155840.0,0.7718869494006358,248262656.0,0.7816689342988503,233432064.0,0.7349739813387842,271284224.0,0.8541536358419148,289027072.0,0.9100179905984614,315321344.0,0.9928069847370083,281572352.0,0.8865463854372876,-11.345361456271238
GEMM(10;10;1),GEMM,remote,302409728.0,1.0,247182336.0,0.8173756103507358,249778176.0,0.8259594611982852,254520320.0,0.8416406498669249,262434816.0,0.867812083082195,243186688.0,0.8041629137009773,239548416.0,0.7921319779765815,250711040.0,0.8290442296882725,256865280.0,0.8493948977726008,250540032.0,0.8284787452340158,292334592.0,0.9666838230812469,270946304.0,0.8959576326856786,259121152.0,0.85685455198055,243485696.0,0.8051516649623123,261804032.0,0.8657262242569128,264991744.0,0.8762672608203926,262326272.0,0.8674531528297925,249254912.0,0.8242291464909489,240420864.0,0.7950169645336277,259497984.0,0.8581006494605887,270619648.0,0.8948774557940147,265464832.0,0.8778316549393543,269349888.0,0.8906786490677971,297217024.0,0.9828289121704444,279004160.0,0.9226031247248766,298792960.0,0.9880401730991935,250845184.0,0.8294878133020906,283601920.0,0.9378068684351318,245032960.0,0.8102681141262758,249139200.0,0.82384651329735,258176000.0,0.8537291498770834,266903552.0,0.8825891738509153,237074432.0,0.7839510771293706,254660608.0,0.8421045502874828,238627840.0,0.7890878431000738,253726720.0,0.839016395663039,234457088.0,0.775296117458232,273347584.0,0.903898117986469,299432960.0,0.9901565071345853,283994112.0,0.93910375793202,269864960.0,0.8923818746994806,-10.761812530051943
GEMM(10;10;2),GEMM,local,86292480.0,1.0,72667136.0,0.8421027649222736,62757888.0,0.7272694909220363,55227392.0,0.64000237332384,49309696.0,0.5714251809659429,44537856.0,0.516126735493058,40608768.0,0.4705945176219295,37316608.0,0.4324433368933191,34518016.0,0.4000118666192002,32109568.0,0.3721015782603536,30016512.0,0.3478462086151655,28178432.0,0.32654562715082475,26553344.0,0.3077133024801234,25104384.0,0.29092203631185476,23806976.0,0.2758870297852142,22636544.0,0.2623234840393972,21575680.0,0.25002966654800046,20609024.0,0.23882757802302124,19726336.0,0.22859855227245757,18916352.0,0.2192120564851074,18177024.0,0.21064435742257032,17492992.0,0.20271745579684347,16842752.0,0.1951821526047229,16250880.0,0.18832324670701317,15704064.0,0.18198647205411178,15177728.0,0.1758870297852142,14769152.0,0.17115224872433843,14238720.0,0.1650053399786401,13850624.0,0.16050789130176812,13411328.0,0.15541711166488667,13037568.0,0.15108579565681737,12672000.0,0.1468494126023496,12332032.0,0.14290969502788656,12010496.0,0.13918357659902694,11723776.0,0.13586092322297377,11415552.0,0.13228907084371663,11144192.0,0.12914441675566632,10901504.0,0.1263320280052213,10627072.0,0.12315177405957042,10392576.0,0.12043431826272695,10158080.0,0.11771686246588348,-88.22831375341165
GEMM(10;10;3),GEMM,remote,321564672.0,1.0,310070272.0,0.9642547798285503,376688640.0,1.1714242042110894,278915072.0,0.8673685149094985,348762112.0,1.084578445234183,284709888.0,0.8853892009629715,407546880.0,1.2673869846000994,385941504.0,1.2001987083954297,316952576.0,0.985657329919625,311962624.0,0.970139605385507,351482880.0,1.093039474187015,349340672.0,1.0863776478530578,349576192.0,1.0871100666182634,363202560.0,1.1294852688295312,300075008.0,0.9331715643191053,295838720.0,0.9199975798336454,402044928.0,1.2502770453590126,297325568.0,0.9246213713426829,324717568.0,1.009804858165514,240336896.0,0.747398321168813,281039872.0,0.8739762059434191,340118528.0,1.0576986765511356,282380288.0,0.8781446240462634,268165120.0,0.8339383749219815,348490752.0,1.0837345714394895,315304960.0,0.9805335829925994,359504896.0,1.1179862942158023,308848640.0,0.9604557555377228,387087360.0,1.203762084909626,329708544.0,1.0253257671290459,302155776.0,0.9396423248882265,319848448.0,0.9946628963022406,351631360.0,1.0935012164520361,353982464.0,1.1008126663864368,342310912.0,1.064516539926376,375300096.0,1.16710611792579,300340224.0,0.9339963315373151,316157952.0,0.9831862126944094,334804992.0,1.0411746723222133,271032320.0,0.8428547772810068,293083136.0,0.9114282802807393,-8.85717197192607
GEMM(10;10;4),GEMM,remote,358374400.0,1.0,286041088.0,0.7981627259089935,278917120.0,0.778284163154511,266080256.0,0.7424644617472677,229788672.0,0.6411972283734553,233326592.0,0.6510693620972927,219027456.0,0.61116936924066,279495680.0,0.779898564183156,282846208.0,0.7892478034145296,248477696.0,0.6933466676191157,304441344.0,0.8495063933138082,300515328.0,0.8385513250946496,300449792.0,0.838368454889635,239208448.0,0.667481962997357,304166912.0,0.8487406243303093,210233344.0,0.5866304736052576,267475968.0,0.7463590256446889,282851328.0,0.7892620901492964,265105408.0,0.7397442674476749,279211008.0,0.7791042217301236,243091456.0,0.6783170226444746,252599296.0,0.7048474891063647,276509696.0,0.7715665404671762,271690752.0,0.7581198657046931,250057728.0,0.6977555539681406,246947840.0,0.689077791270805,310591488.0,0.8666676191156512,263364608.0,0.7348867776269734,270345216.0,0.7543653118079863,261043200.0,0.7284091720837202,297056256.0,0.8288992070862204,238530560.0,0.6655903993142367,252844032.0,0.7055303950282164,283298816.0,0.790510750767912,207531008.0,0.5790899349953568,276904960.0,0.7726694763911708,314077184.0,0.8763940281448674,243980288.0,0.6807971997999858,267037696.0,0.7451360811486535,298554368.0,0.833079505678977,276040704.0,0.7702578755625402,-22.974212443745984
GEMM(10;10;5),GEMM,remote,294536192.0,1.0,296579072.0,1.0069359218170377,298924032.0,1.0148974561333366,268947456.0,0.9131219296812257,227929088.0,0.7738576588917127,233937920.0,0.7942586559956611,232656896.0,0.7899093636682857,255660032.0,0.868008886323892,236475392.0,0.8028738009894553,262237184.0,0.8903394255874674,227248128.0,0.7715456849527002,239192064.0,0.8120973601777265,223091712.0,0.7574339522933738,237617152.0,0.8067502685714087,238277632.0,0.8089927094596239,263846912.0,0.8958047233801406,337901568.0,1.1472327584108917,230182912.0,0.7815097711319633,313631744.0,1.064832616563468,289449984.0,0.9827314668344731,283466752.0,0.9624173860440214,239442944.0,0.8129491400499943,261968896.0,0.8894285426220219,235346944.0,0.7990425298905202,214644736.0,0.7287550454919984,220497920.0,0.7486275914098869,216085504.0,0.7336466956155935,236314624.0,0.8023279665406959,251061248.0,0.8523952397673424,244599808.0,0.830457562240772,246893568.0,0.8382452639300776,236905472.0,0.8043339950562001,288781312.0,0.980461212725939,226165760.0,0.7678708632180591,255566848.0,0.8676925109427639,275615744.0,0.9357618910208495,271194112.0,0.9207497053536973,225614848.0,0.7660004241516098,230362112.0,0.7821181853264403,250248192.0,0.8496347776506868,261232640.0,0.8869288294458564,-11.307117055414365
GEMM(10;10;6),GEMM,local,86292480.0,1.0,72667136.0,0.8421027649222736,62757888.0,0.7272694909220363,55227392.0,0.64000237332384,49309696.0,0.5714251809659429,44538880.0,0.5161386021122583,40608768.0,0.4705945176219295,37315584.0,0.4324314702741189,34518016.0,0.4000118666192002,32109568.0,0.3721015782603536,30015488.0,0.34783434199596536,28178432.0,0.32654562715082475,26552320.0,0.30770143586092324,25104384.0,0.29092203631185476,23805952.0,0.275875163166014,22635520.0,0.262311617420197,21574656.0,0.2500177999288003,20609024.0,0.23882757802302124,19726336.0,0.22859855227245757,18915328.0,0.2192001898659072,18177024.0,0.21064435742257032,17492992.0,0.20271745579684347,16841728.0,0.19517028598552272,16250880.0,0.18832324670701317,15703040.0,0.1819746054349116,15176704.0,0.175875163166014,14761984.0,0.1710691823899371,14237696.0,0.1649934733594399,13842432.0,0.1604129583481666,13410304.0,0.15540524504568648,13028352.0,0.15097899608401566,12670976.0,0.1468375459831494,12331008.0,0.14289782840868637,12010496.0,0.13918357659902694,11722752.0,0.13584905660377358,11415552.0,0.13228907084371663,11144192.0,0.12914441675566632,10901504.0,0.1263320280052213,10628096.0,0.12316364067877061,10392576.0,0.12043431826272695,10157056.0,0.11770499584668329,-88.22950041533167
GEMM(10;10;7),GEMM,remote,419483648.0,1.0,343571456.0,0.8190342046419888,415650816.0,0.9908629763799518,321117184.0,0.7655058439846504,425380864.0,1.0140582738519524,302630912.0,0.7214367316649254,325904384.0,0.7769179693984162,291219456.0,0.6942331539941219,327833600.0,0.7815169949127552,322009088.0,0.7676320389013114,278411264.0,0.6636999209084784,399196160.0,0.9516369992090847,377051136.0,0.8988458496479939,343393280.0,0.8186094538779256,284190720.0,0.6774774686807339,329552896.0,0.7856155956763301,346754048.0,0.826621132082841,366738432.0,0.8742615683555799,316857344.0,0.7553508831886577,306475008.0,0.7306006073447707,363236352.0,0.8659130188550281,282266624.0,0.6728906486481209,318940160.0,0.7603160731547752,308195328.0,0.7347016492046908,298328064.0,0.7111792448224347,339912704.0,0.810312167400623,286151680.0,0.6821521681817738,371929088.0,0.8866354857293508,277687296.0,0.6619740657924287,333043712.0,0.7939372931170847,324586496.0,0.773776278402156,316462080.0,0.7544086199994141,301036544.0,0.7176359446554637,341473280.0,0.8140323982306934,345876480.0,0.8245291125150127,299287552.0,0.7134665520978782,317644800.0,0.7572280862781092,329744384.0,0.7860720806928808,347351040.0,0.8280442912520871,325189632.0,0.7752140841494732,333804544.0,0.7957510277015614,-20.424897229843868
GEMM(10;10;8),GEMM,remote,296130560.0,1.0,321273856.0,1.084906117085653,308018176.0,1.0401431584771257,249699328.0,0.8432068882049863,246524928.0,0.8324872920917045,298645504.0,1.0084926864691033,288846848.0,0.9754037138213631,246125568.0,0.8311386977419689,311795712.0,1.0528994778519312,273069056.0,0.9221238632041219,249603072.0,0.8428818423873577,262596608.0,0.8867595698329818,296965120.0,1.002818216397524,252507136.0,0.8526885438638957,301309952.0,1.0174902313358,246506496.0,0.8324250492755628,280729600.0,0.9479926691794323,231543808.0,0.781897714305474,265715712.0,0.8972924374978388,261805056.0,0.8840865866731215,225502208.0,0.7614959023479373,256525312.0,0.8662574777827726,283192320.0,0.9563090010028009,277104640.0,0.9357515820049103,307298304.0,1.037712230713372,250221568.0,0.8449704346623327,228433920.0,0.7713959680486877,288332800.0,0.9736678308378575,230374400.0,0.77794875341471,284238848.0,0.9598430097859538,290445312.0,0.9808015491545351,284762112.0,0.9616100141775303,275155968.0,0.9291711331650472,227399680.0,0.7679034544762958,239706112.0,0.8094609080535288,295603200.0,0.9982191638715031,262146048.0,0.8852380787717418,284309504.0,0.9600816072478301,284875776.0,0.9619938448770704,251639808.0,0.8497596735710087,252146688.0,0.8514713510149037,-14.85286489850963
GEMM(10;10;9),GEMM,remote,343344128.0,1.0,318213120.0,0.9268051906220456,308055040.0,0.8972194800430663,273378304.0,0.7962224535262767,306299904.0,0.8921075941627871,439689216.0,1.28060793863351,302494720.0,0.8810248824176775,460129280.0,1.3401402338822,333510656.0,0.9713597198901273,258239488.0,0.7521302009859915,371719168.0,1.0826431492080155,350667776.0,1.0213303429496834,317499392.0,0.924726436562212,243159040.0,0.7082079469843154,306831360.0,0.89365547559328,282486784.0,0.8227511728407949,366726144.0,1.0681008180806866,245971968.0,0.7164006835730711,312921088.0,0.9113919897881579,347598848.0,1.0123919987354495,312796160.0,0.9110281332669246,325043200.0,0.9466980020698068,304925696.0,0.8881051724292195,282235904.0,0.8220204773678261,222254080.0,0.6473216282877569,246981632.0,0.7193413600479575,265566208.0,0.7734694912271807,293637120.0,0.855226858576128,230472704.0,0.6712586154961124,243012608.0,0.7077814594225418,275212288.0,0.8015639865552033,275984384.0,0.8038127391536459,247049216.0,0.7195382004610837,294568960.0,0.857940870332869,265187328.0,0.7723659919414728,231131136.0,0.6731763183088426,258435072.0,0.752699845211857,247565312.0,0.7210413454340481,283799552.0,0.8265746487442477,240296960.0,0.6998720537314679,249612288.0,0.7270032240073726,-27.299677599262743
