op_name,op_type,locality,median_ns_240,relative_240,median_ns_285,relative_285,median_ns_330,relative_330,median_ns_375,relative_375,median_ns_420,relative_420,median_ns_465,relative_465,median_ns_510,relative_510,median_ns_555,relative_555,median_ns_600,relative_600,median_ns_645,relative_645,median_ns_690,relative_690,median_ns_735,relative_735,median_ns_780,relative_780,median_ns_825,relative_825,median_ns_870,relative_870,median_ns_915,relative_915,median_ns_960,relative_960,median_ns_1005,relative_1005,median_ns_1050,relative_1050,median_ns_1095,relative_1095,median_ns_1140,relative_1140,median_ns_1185,relative_1185,median_ns_1230,relative_1230,median_ns_1275,relative_1275,median_ns_1320,relative_1320,median_ns_1365,relative_1365,median_ns_1410,relative_1410,median_ns_1455,relative_1455,median_ns_1500,relative_1500,median_ns_1545,relative_1545,median_ns_1590,relative_1590,median_ns_1635,relative_1635,median_ns_1680,relative_1680,median_ns_1725,relative_1725,median_ns_1770,relative_1770,median_ns_1815,relative_1815,median_ns_1860,relative_1860,median_ns_1905,relative_1905,median_ns_1950,relative_1950,median_ns_1995,relative_1995,median_ns_2040,relative_2040,pct_change_low_to_high
GEMM(10;1;0),GEMM,remote,47353856.0,1.0,37211136.0,0.7858100510336476,33608704.0,0.7097353170140991,35200000.0,0.7433396764985728,39572480.0,0.8356759795865409,37893120.0,0.8002119193841363,40619008.0,0.8577761439321858,35688448.0,0.7536545281550039,34545664.0,0.7295216676758066,32957440.0,0.695982181472191,35670016.0,0.7532652884698555,32433152.0,0.6849104748724159,33143808.0,0.6999178271775798,37561344.0,0.7932056050514661,33797120.0,0.7137142115733933,35254272.0,0.7444857711270652,33721344.0,0.7121140039788946,34397184.0,0.7263861257676671,33876992.0,0.7154009168757028,33019904.0,0.6973012715163048,37132288.0,0.7841449701582908,32942080.0,0.6956578150679007,34930688.0,0.7376524522100164,34189312.0,0.7219963670962719,35484672.0,0.7493512671914194,34522112.0,0.7290243058558948,33240064.0,0.7019505233111323,32679936.0,0.6901219617680131,32327680.0,0.6826831588962893,36055040.0,0.7613960730040654,36298752.0,0.7665426866188046,33071104.0,0.698382492863939,33461248.0,0.7066213995329124,37543936.0,0.7928379897932705,36400128.0,0.7686835048871205,34288640.0,0.7240939365106824,33960960.0,0.717174119885823,35392512.0,0.7474050687656777,32604160.0,0.6885217541735144,32802816.0,0.6927168930023354,34041856.0,0.7188824496150852,-28.11175503849148
GEMM(10;2;0),GEMM,remote,40089600.0,1.0,40114176.0,1.0006130268199234,45629440.0,1.1381864623243934,45242368.0,1.1285312899106004,58717184.0,1.4646487867177522,36553728.0,0.9118007662835249,40022016.0,0.9983141762452107,47437824.0,1.1832950191570881,40208384.0,1.002962962962963,43692032.0,1.0898595146871008,43445248.0,1.0837037037037036,38976512.0,0.972234993614304,36590592.0,0.91272030651341,34786304.0,0.8677139208173691,44470272.0,1.109272030651341,34416640.0,0.858492975734355,50298880.0,1.254661558109834,42047488.0,1.0488378033205619,39442432.0,0.9838569604086845,42226688.0,1.05330779054917,42814464.0,1.0679693486590038,36793344.0,0.9177777777777778,38283264.0,0.9549425287356322,30594048.0,0.7631417624521073,31497216.0,0.7856704980842912,36832256.0,0.9187484035759897,31601664.0,0.7882758620689655,32177152.0,0.8026309067688377,37743616.0,0.9414814814814815,33372160.0,0.8324393358876118,38870016.0,0.9695785440613027,34484224.0,0.8601787994891443,40877056.0,1.0196424010217113,37101568.0,0.9254661558109833,33788928.0,0.8428352490421456,35902464.0,0.8955555555555555,31109120.0,0.7759897828863346,31030272.0,0.7740229885057471,30669824.0,0.7650319284802043,30897152.0,0.7707024265644955,34136064.0,0.8514942528735632,-14.850574712643677
GEMM(10;2;1),GEMM,remote,34961408.0,1.0,35401728.0,1.012594458438287,31589376.0,0.9035498799133033,32632832.0,0.933395817468221,37473280.0,1.071846991974694,33336320.0,0.9535176615312518,34919424.0,0.9987991330326285,31780864.0,0.9090270048620468,32171008.0,0.9201862808271337,36409344.0,1.0414152656552047,33618944.0,0.9616015464823384,33551360.0,0.9596684435592525,34237440.0,0.9792923671723976,35526656.0,1.0161677699021732,31253504.0,0.8939429441743307,32748544.0,0.93670552398805,33123328.0,0.9474254583797083,36742144.0,1.0509343330794916,33203200.0,0.9497100345615371,32049152.0,0.9167008376779333,32207872.0,0.9212407006033624,33533952.0,0.9591705231093668,32202752.0,0.9210942534122195,30991360.0,0.8864448479878156,30820352.0,0.8815535118036436,32763904.0,0.9371448655614786,32848896.0,0.9395758889344502,30720000.0,0.8786831468572432,32862208.0,0.9399566516314217,31183872.0,0.8919512623747876,32553984.0,0.9311405307246207,32263168.0,0.9228223302677054,31582208.0,0.9033448538457033,32822272.0,0.9388143635405073,32131072.0,0.9190439927362193,33246208.0,0.9509401909671372,33885184.0,0.9692168004217679,32012288.0,0.9156464179017046,31699968.0,0.9067131392419894,32432128.0,0.9276550875754203,29349888.0,0.8394938785074102,-16.050612149258978
GEMM(10;3;0),GEMM,remote,40419328.0,1.0,39965696.0,0.9887768544791244,45549568.0,1.126925415484394,45154304.0,1.117146331576814,59369472.0,1.4688386704499392,36631552.0,0.9062880016214026,40876032.0,1.0112991487636807,47370240.0,1.1719700040535064,40173568.0,0.9939197405755978,43968512.0,1.0878090798540738,43404288.0,1.0738498175922173,38608896.0,0.9552087555735711,36798464.0,0.9104175111471423,34540544.0,0.854555127685448,43794432.0,1.0835022294284555,34881536.0,0.8629914876368059,50237440.0,1.2429063640048643,42277888.0,1.045981961897041,38369280.0,0.949280502634779,42156032.0,1.0429671665991083,41318400.0,1.0222436157276045,35851264.0,0.8869831779489258,38674432.0,0.956830158086745,30748672.0,0.7607417916497771,32251904.0,0.7979327117957032,35819520.0,0.8861978111066072,31621120.0,0.7823267126064045,32148480.0,0.7953739359546007,36723712.0,0.9085680989055533,31293440.0,0.7742197000405351,38093824.0,0.9424655451965951,33044480.0,0.8175415484394001,37341184.0,0.9238447507093636,35713024.0,0.8835630320226996,32075776.0,0.7935751925415484,34698240.0,0.8584566274827726,30689280.0,0.7592723956222133,29448192.0,0.7285670855289825,29664256.0,0.7339126469396028,29414400.0,0.7277310498581273,33584128.0,0.8308927847588163,-16.91072152411836
GEMM(10;3;1),GEMM,remote,33307648.0,1.0,33816576.0,1.0152796138592555,31147008.0,0.9351308144003443,31385600.0,0.9422940941371784,32518144.0,0.9762966151197466,30819328.0,0.9252928336458942,32897024.0,0.9876717803670797,31886336.0,0.9573277584775725,30491648.0,0.915454852891444,31559680.0,0.9475205214129799,31495168.0,0.9455836689519476,30179328.0,0.9060780274848588,32433152.0,0.9737448888615612,32848896.0,0.9862268269437698,32001024.0,0.96077105174163,32291840.0,0.9695022596612045,31732736.0,0.952716204998924,33339392.0,1.0009530543855873,31315968.0,0.9402035232268577,31707136.0,0.9519476127524825,31465472.0,0.9446921019460756,32135168.0,0.9647984751129831,31835136.0,0.9557905739846897,30163968.0,0.9056168721369939,28632064.0,0.8596243121099394,30091264.0,0.9034340701571002,31019008.0,0.9312878531681372,30894080.0,0.9275371230055032,30270464.0,0.9088142158821901,31001600.0,0.930765210440557,29114368.0,0.8741045900328958,30772224.0,0.923878623912442,29914112.0,0.8981154118117256,30763008.0,0.9236019307037231,28907520.0,0.867894364681649,31067136.0,0.9327328065914471,30824448.0,0.9254465520951825,30900224.0,0.9277215851446491,31627264.0,0.9495496049435853,31420416.0,0.9433393795923387,29304832.0,0.8798229163464198,-12.01770836535801
GEMM(10;3;2),GEMM,remote,36388864.0,1.0,37588992.0,1.0329806393516434,32499712.0,0.8931224673570464,33371136.0,0.9170700135074291,32485376.0,0.8927285006753715,33284096.0,0.914678072940117,32851968.0,0.9028027915353445,31038464.0,0.8529660063034669,30630912.0,0.8417660963529942,31441920.0,0.8640533543448897,30563328.0,0.8399088248536695,32698368.0,0.8985817199459702,32774144.0,0.9006641152633948,31693824.0,0.8709759117514633,34891776.0,0.9588586222422333,35248128.0,0.9686515083295812,39703552.0,1.0910907248986943,45840384.0,1.2597366051328232,48717824.0,1.3388113462404323,37767168.0,1.0378770823953174,43843584.0,1.204862674470959,51963904.0,1.4280166591625394,43615232.0,1.1985873480414229,48629760.0,1.3363912651958578,47783936.0,1.3131472309770373,35604480.0,0.9784443944169293,35210240.0,0.967610310670869,31331328.0,0.8610141828005403,35474432.0,0.9748705538045925,31019008.0,0.8524313372354795,35148800.0,0.9659218820351193,32228352.0,0.8856652408824853,32538624.0,0.8941918054930211,32397312.0,0.890308419630797,32226304.0,0.8856089599279604,31153152.0,0.8561177397568662,35874816.0,0.9858734804142278,30476288.0,0.8375168842863575,33652736.0,0.924808644754615,30097408.0,0.8271049076992346,30564352.0,0.839936965330932,-16.0063034669068
GEMM(10;4;0),GEMM,local,10475520.0,1.0,8822784.0,0.8422287390029326,7623680.0,0.727761485826002,6711296.0,0.6406647116324535,5989376.0,0.5717497556207234,5414912.0,0.5169110459433041,4940800.0,0.47165200391006845,4540416.0,0.43343108504398825,4201472.0,0.4010752688172043,3905536.0,0.37282502443792764,3652608.0,0.34868035190615837,3430400.0,0.32746823069403713,2971648.0,0.2836754643206256,2957312.0,0.2823069403714565,2903040.0,0.27712609970674484,2759680.0,0.26344086021505375,2633728.0,0.25141739980449657,2518016.0,0.24037145650048874,2406400.0,0.22971652003910067,2309120.0,0.22043010752688172,2219008.0,0.2118279569892473,2138112.0,0.20410557184750733,2057216.0,0.19638318670576735,1982464.0,0.18924731182795698,1928192.0,0.18406647116324534,1856512.0,0.1772238514173998,1800192.0,0.1718475073313783,1743872.0,0.1664711632453568,1692672.0,0.16158357771260998,1645568.0,0.15708699902248288,1603584.0,0.1530791788856305,1560576.0,0.14897360703812318,1516544.0,0.1447702834799609,1476608.0,0.14095796676441838,1438720.0,0.13734115347018572,1403904.0,0.13401759530791788,1367040.0,0.13049853372434017,1340416.0,0.12795698924731183,1304576.0,0.12453567937438906,1274880.0,0.1217008797653959,1245184.0,0.11886608015640274,-88.11339198435972
GEMM(10;4;1),GEMM,remote,34545664.0,1.0,35207168.0,1.019148683898506,37858304.0,1.0958916291202276,37537792.0,1.0866137064263695,34460672.0,0.9975397201802229,34433024.0,0.9967393881906569,35439616.0,1.0258774009959688,36087808.0,1.0446407398624615,33356800.0,0.9655857244486602,33525760.0,0.9704766421626749,32503808.0,0.9408940004742709,33341440.0,0.9651410955655679,35687424.0,1.0330507469765235,32458752.0,0.9395897557505336,33300480.0,0.9639554185439886,31104000.0,0.9003734882617975,33171456.0,0.9602205359260138,29979648.0,0.8678266540194451,31754240.0,0.9191961109793693,32846848.0,0.9508240455299977,29824000.0,0.8633210813374437,31071232.0,0.899424946644534,32685056.0,0.9461406212947593,33896448.0,0.9812070192079677,29682688.0,0.859230495612995,32851968.0,0.950972255157695,31076352.0,0.8995731562722314,31598592.0,0.9146905382973678,32212992.0,0.9324756936210576,32463872.0,0.939737965378231,30926848.0,0.8952454351434669,34336768.0,0.9939530471899455,34181120.0,0.989447474507944,33697792.0,0.975456485653308,37977088.0,1.0993300924828078,35859456.0,1.0380305904671567,35594240.0,1.0303533317524307,36639744.0,1.0606177377282429,35770368.0,1.0354517429452217,35505152.0,1.0277744842304957,34952192.0,1.0117678444391747,1.1767844439174768
GEMM(10;4;2),GEMM,remote,34910208.0,1.0,33044480.0,0.9465563768626071,34562048.0,0.990026985803121,39153664.0,1.1215534436231374,41380864.0,1.1853514020884666,37776384.0,1.0821013727560718,41754624.0,1.1960577261527632,47156224.0,1.3507861081778716,44758016.0,1.2820896397981931,49098752.0,1.4064296609175173,45484032.0,1.3028863076381556,43599872.0,1.248914701396222,40043520.0,1.1470432946145723,35384320.0,1.0135808987445736,33626112.0,0.9632171770503344,32773120.0,0.9387832922679807,32732160.0,0.9376099964801127,35068928.0,1.004546521177989,38171648.0,1.0934236771089991,36126720.0,1.0348468848996832,34965504.0,1.001583949313622,38333440.0,1.0980581954710782,35756032.0,1.0242285580194768,39592960.0,1.134137040948023,42377216.0,1.2138918221283586,42857472.0,1.2276487152411122,44355584.0,1.2705620086823888,41882624.0,1.199724275489851,45873152.0,1.3140326176229027,44936192.0,1.2871934764754194,47876096.0,1.3714067816496538,43568128.0,1.2480053971606242,50317312.0,1.441335210606594,48190464.0,1.3804118268215417,48033792.0,1.3759239704329462,47833088.0,1.3701748210723923,51722240.0,1.4815792561304706,50402304.0,1.4437697993664202,47514624.0,1.3610524463217177,48534528.0,1.390267511439634,48760832.0,1.3967499706676052,39.67499706676053
GEMM(10;4;3),GEMM,remote,42030080.0,1.0,40990720.0,0.9752710439761237,35904512.0,0.8542575222316969,41326592.0,0.9832622731148739,39628800.0,0.9428675843586307,42468352.0,1.01042757948593,41745408.0,0.9932269460348399,40315904.0,0.959215495188208,40409088.0,0.9614325740041418,38681600.0,0.9203313436472165,36301824.0,0.863710561578755,38154240.0,0.9077841393592399,41291776.0,0.9824339139968328,33209344.0,0.7901327810939213,37993472.0,0.9039590693141674,37236736.0,0.8859544402485078,39399424.0,0.9374101595809478,40704000.0,0.96844926300402,38947840.0,0.9266658545498843,38021120.0,0.904616883907906,36763648.0,0.8746985016445364,35665920.0,0.8485808259227677,37502976.0,0.8922889511511756,36492288.0,0.8682421732245097,33302528.0,0.7923498599098551,35296256.0,0.8397856011694481,36786176.0,0.8752344987209161,35789824.0,0.8515288098428554,33761280.0,0.8032647094652211,35593216.0,0.84685101717627,38088704.0,0.9062248751370447,39142400.0,0.9312949202095261,35864576.0,0.8533073455962967,35664896.0,0.8485564624192959,35833856.0,0.8525764404921428,34436096.0,0.8193202582531368,33422336.0,0.7952003898160556,33994752.0,0.8088195882567913,32482304.0,0.7728346936289439,34323456.0,0.8166402728712389,35152896.0,0.8363747106833963,-16.36252893166037
