pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
2,0,432,GEMM(11;10;3),1777470323007210742,1777470428090729718,1777470181911658742
2,0,403,GEMM(12;6;3),1777470323007407350,1777470428090413302,1777470181951742198
2,0,433,GEMM(12;10;3),1777470323007152374,1777470428090683638,1777470183022491894
2,0,404,GEMM(13;6;3),1777470323006971126,1777470428090682614,1777470183414167798
2,0,434,GEMM(13;10;3),1777470323006971126,1777470428090473718,1777470183414167798
2,0,405,GEMM(14;6;3),1777470323008759030,1777470428091097334,1777470182708684022
2,0,435,GEMM(14;10;3),1777470323007097078,1777470428090683638,1777470183022491894
2,0,449,SYRK(14;14;3),1777470323007445238,1777470428090683638,1777470182127167734
2,0,406,GEMM(15;6;3),1777470323007303926,1777470428090472694,1777470182127167734
2,0,436,GEMM(15;10;3),1777470323007011062,1777470428090725622,1777470182127167734
2,0,450,GEMM(15;14;3),1777470323008718070,1777470428090682614,1777470183022491894
2,0,475,SYRK(6;6;4),1777470438184397046,1777470474821274870,1777470183414167798
2,0,476,GEMM(7;6;4),1777470438184397046,1777470474819802358,1777470183414167798
2,0,477,GEMM(8;6;4),1777470474815468790,1777470580875663606,1777470183100513526
2,0,478,GEMM(9;6;4),1777470438184397046,1777470474820269302,1777470183414290678
2,0,479,GEMM(10;6;4),1777470474816838902,1777470580874689782,1777470183414380790
2,0,509,SYRK(10;10;4),1777470474814777590,1777470580875051254,1777470183414433014
2,0,480,GEMM(11;6;4),1777470438184397046,1777470580875051254,1777470183414345974
2,0,510,GEMM(11;10;4),1777470474814777590,1777470580875938038,1777470183416571126
2,0,481,GEMM(12;6;4),1777470438184397046,1777470474820269302,1777470183414167798
2,0,511,GEMM(12;10;4),1777470474814777590,1777470580875051254,1777470183414167798
2,0,482,GEMM(13;6;4),1777470474815486198,1777470580978643190,1777470183100537078
2,0,512,GEMM(13;10;4),1777470474816370934,1777470580874690806,1777470183414329590
2,0,483,GEMM(14;6;4),1777470474814778614,1777470580875798774,1777470183414396150
2,0,513,GEMM(14;10;4),1777470474814778614,1777470580875968758,1777470183414434038
2,0,527,SYRK(14;14;4),1777470474814778614,1777470580874691830,1777470428116081910
2,0,484,GEMM(15;6;4),1777470474816888054,1777470580874721526,1777470428111833334
2,0,514,GEMM(15;10;4),1777470474815717622,1777470580875051254,1777470428116748534
2,0,528,GEMM(15;14;4),1777470474814778614,1777470580875352310,1777470428112710902
2,0,541,SYRK(6;6;5),1777470599877441782,1777470688779684086,1777470428112529654
2,0,542,GEMM(7;6;5),1777470599877441782,1777470688779679990,1777470428094328054
2,0,543,GEMM(8;6;5),1777470599877442806,1777470688779695350,1777470428231929078
2,0,544,GEMM(9;6;5),1777470599879479542,1777470688798621942,1777470428111436022
2,0,545,GEMM(10;6;5),1777470599877441782,1777470688779665654,1777470428116217078
2,0,575,SYRK(10;10;5),1777470582284358902,1777470688779620598,1777470428112034038
2,0,546,GEMM(11;6;5),1777470599877441782,1777470688779667702,1777470428115268854
2,0,576,GEMM(11;10;5),1777470599877441782,1777470688779683062,1777470428113407222
2,0,547,GEMM(12;6;5),1777470599877441782,1777470688779657462,1777470428113941750
2,0,577,GEMM(12;10;5),1777470582284358902,1777470599881413878,1777470428112034038
