pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
3,0,6,TRSM_L(0,3),1777844079819208704,1777844090433239040,1777844079682457600
3,0,14,TRSM_L(0,7),1777844079819208704,1777844089403985920,1777844079682464768
3,0,22,TRSM_L(0,11),1777844079819208704,1777844091079249920,1777844079682471936
3,0,30,TRSM_L(0,15),1777844079819209728,1777844092181188608,1777844079682476032
3,0,33,GEMM(1,3,0),1777844079968894976,1777844086145782784,1777844079682480128
3,0,37,GEMM(1,7,0),1777844079968621568,1777844086145780736,1777844079682486272
3,0,41,GEMM(1,11,0),1777844079968733184,1777844086146020352,1777844079682489344
3,0,45,GEMM(1,15,0),1777844079969008640,1777844086145781760,1777844079682493440
3,0,48,GEMM(2,3,0),1777844079968651264,1777844086145780736,1777844079682498560
3,0,52,GEMM(2,7,0),1777844079968959488,1777844086146056192,1777844079682502656
3,0,56,GEMM(2,11,0),1777844079968621568,1777844086145780736,1777844079682506752
3,0,60,GEMM(2,15,0),1777844079968689152,1777844086145780736,1777844079682510848
3,0,63,GEMM(3,3,0),1777844079968622592,1777844086145780736,1777844079682513920
3,0,67,GEMM(3,7,0),1777844079968960512,1777844086145782784,1777844079682521088
3,0,71,GEMM(3,11,0),1777844079968622592,1777844086145780736,1777844079682525184
3,0,75,GEMM(3,15,0),1777844079968903168,1777844086145781760,1777844079682528256
3,0,78,GEMM(4,3,0),1777844079968960512,1777844086145782784,1777844079682532352
3,0,82,GEMM(4,7,0),1777844079968622592,1777844086145781760,1777844079682536448
3,0,86,GEMM(4,11,0),1777844079968622592,1777844086145781760,1777844079682542592
3,0,90,GEMM(4,15,0),1777844079968960512,1777844086145782784,1777844079682546688
3,0,93,GEMM(5,3,0),1777844079968891904,1777844086145781760,1777844079682550784
3,0,97,GEMM(5,7,0),1777844079968651264,1777844086145781760,1777844079682555904
3,0,101,GEMM(5,11,0),1777844079968960512,1777844086145782784,1777844079682560000
3,0,105,GEMM(5,15,0),1777844079968622592,1777844086145781760,1777844079682566144
3,0,108,GEMM(6,3,0),1777844079968891904,1777844086145781760,1777844079682570240
3,0,112,GEMM(6,7,0),1777844079968622592,1777844086145781760,1777844079682575360
3,0,116,GEMM(6,11,0),1777844079969259520,1777844086145783808,1777844079682579456
3,0,120,GEMM(6,15,0),1777844079968960512,1777844086146026496,1777844079682584576
3,0,123,GEMM(7,3,0),1777844079969225728,1777844086145782784,1777844079682588672
3,0,127,GEMM(7,7,0),1777844079969313792,1777844086621753344,1777844079682591744
3,0,131,GEMM(7,11,0),1777844079968689152,1777844086145780736,1777844079682595840
3,0,135,GEMM(7,15,0),1777844079969074176,1777844086145782784,1777844079682599936
3,0,138,GEMM(8,3,0),1777844090434977792,1777844091301248000,1777844090434030592
3,0,142,GEMM(8,7,0),1777844089407108096,1777844090430788608,1777844089406172160
3,0,146,GEMM(8,11,0),1777844091308256256,1777844092181387264,1777844091301246976
3,0,150,GEMM(8,15,0),1777844092184601600,1777844093102245888,1777844092182584320
3,0,153,GEMM(9,3,0),1777844086633592832,1777844088974269440,1777844086588479488
3,0,157,GEMM(9,7,0),1777844086147323904,1777844086621753344,1777844086146631680
3,0,161,GEMM(9,11,0),1777844086633593856,1777844088974269440,1777844086588478464
3,0,165,GEMM(9,15,0),1777844086633593856,1777844088974270464,1777844086588478464
3,0,168,GEMM(10,3,0),1777844090434912256,1777844091301248000,1777844090434097152
3,0,172,GEMM(10,7,0),1777844089407207424,1777844090430788608,1777844089406172160
3,0,176,GEMM(10,11,0),1777844091307924480,1777844092181188608,1777844091301246976
3,0,180,GEMM(10,15,0),1777844092184600576,1777844093102245888,1777844092182810624
3,0,183,GEMM(11,3,0),1777844086633815040,1777844088974270464,1777844086588479488
3,0,187,GEMM(11,7,0),1777844086147329024,1777844086632904704,1777844086147248128
3,0,191,GEMM(11,11,0),1777844086633592832,1777844088974269440,1777844086588478464
3,0,195,GEMM(11,15,0),1777844086633593856,1777844088974269440,1777844086588478464
3,0,198,GEMM(12,3,0),1777844090699329536,1777844092181188608,1777844090434066432
3,0,202,GEMM(12,7,0),1777844089407206400,1777844091084924928,1777844089406173184
3,0,206,GEMM(12,11,0),1777844091308255232,1777844092181188608,1777844091301246976
3,0,210,GEMM(12,15,0),1777844092184790016,1777844093102245888,1777844092182939648
3,0,213,GEMM(13,3,0),1777844086633817088,1777844088974270464,1777844086588479488
3,0,217,GEMM(13,7,0),1777844086633592832,1777844088974269440,1777844086588478464
3,0,221,GEMM(13,11,0),1777844086633592832,1777844088974269440,1777844086588478464
3,0,225,GEMM(13,15,0),1777844086633593856,1777844088974269440,1777844086588479488
3,0,228,GEMM(14,3,0),1777844090435039232,1777844091305074688,1777844090434131968
3,0,232,GEMM(14,7,0),1777844089407206400,1777844090430893056,1777844089406173184
3,0,236,GEMM(14,11,0),1777844091308255232,1777844093102245888,1777844091301248000
3,0,240,GEMM(14,15,0),1777844092184786944,1777844093127051264,1777844092183172096
3,0,243,GEMM(15,3,0),1777844086633828352,1777844089115909120,1777844086588479488
3,0,247,GEMM(15,7,0),1777844088974270464,1777844089151929344,1777844086632904704
3,0,251,GEMM(15,11,0),1777844086633592832,1777844088974269440,1777844086588479488
3,0,255,GEMM(15,15,0),1777844086633593856,1777844088974440448,1777844086588479488
3,0,260,TRSM_L(1,3),1777844093196386304,1777844105103364096,1777844091305075712
3,0,268,TRSM_L(1,7),1777844093196386304,1777844105122882560,1777844090431713280
3,0,276,TRSM_L(1,11),1777844093196387328,1777844104795732992,1777844092182988800
3,0,284,TRSM_L(1,15),1777844093196386304,1777844104539865088,1777844093105020928
3,0,286,GEMM(2,3,1),1777844094409608192,1777844099063045120,1777844088974708736
3,0,290,GEMM(2,7,1),1777844094409149440,1777844099063045120,1777844086632904704
3,0,294,GEMM(2,11,1),1777844095036427264,1777844099098330112,1777844089114578944
3,0,298,GEMM(2,15,1),1777844095346072576,1777844099098331136,1777844089115908096
3,0,300,GEMM(3,3,1),1777844095545937920,1777844099114208256,1777844091305075712
3,0,304,GEMM(3,7,1),1777844094409608192,1777844099063045120,1777844090432424960
3,0,308,GEMM(3,11,1),1777844095036426240,1777844099098745856,1777844092183177216
3,0,312,GEMM(3,15,1),1777844095346073600,1777844099098331136,1777844093105196032
3,0,314,GEMM(4,3,1),1777844094602370048,1777844099098329088,1777844089115908096
3,0,318,GEMM(4,7,1),1777844094602370048,1777844099098330112,1777844086633636864
3,0,322,GEMM(4,11,1),1777844094409743360,1777844099098742784,1777844089114579968
3,0,326,GEMM(4,15,1),1777844094602370048,1777844099098330112,1777844089115908096
3,0,328,GEMM(5,3,1),1777844094408855552,1777844097470813184,1777844092182016000
3,0,332,GEMM(5,7,1),1777844094409082880,1777844098858862592,1777844091301248000
3,0,336,GEMM(5,11,1),1777844094408817664,1777844097185459200,1777844092183046144
3,0,340,GEMM(5,15,1),1777844094408817664,1777844098156984320,1777844093105255424
3,0,342,GEMM(6,3,1),1777844093266348032,1777844094409104384,1777844089115908096
3,0,346,GEMM(6,7,1),1777844093266348032,1777844094408817664,1777844089114578944
3,0,350,GEMM(6,11,1),1777844093266348032,1777844096173404160,1777844089114579968
3,0,354,GEMM(6,15,1),1777844093266348032,1777844094408817664,1777844089115908096
3,0,356,GEMM(7,3,1),1777844095036426240,1777844099098330112,1777844092182076416
3,0,360,GEMM(7,7,1),1777844095036427264,1777844099098331136,1777844091301248000
3,0,364,GEMM(7,11,1),1777844095346073600,1777844099098331136,1777844093103609856
3,0,368,GEMM(7,15,1),1777844094812769280,1777844099098330112,1777844093127057408
3,0,370,GEMM(8,3,1),1777844095346073600,1777844099098331136,1777844089117514752
3,0,374,GEMM(8,7,1),1777844094812769280,1777844099098330112,1777844089168310272
3,0,378,GEMM(8,11,1),1777844094602370048,1777844099098329088,1777844089114579968
3,0,382,GEMM(8,15,1),1777844094602458112,1777844099098330112,1777844089115908096
3,0,384,GEMM(9,3,1),1777844105176440832,1777844106176305152,1777844105122881536
3,0,388,GEMM(9,7,1),1777844106150253568,1777844106494528512,1777844105171926016
3,0,392,GEMM(9,11,1),1777844105175771136,1777844106150240256,1777844105092200448
3,0,396,GEMM(9,15,1),1777844104664930304,1777844105122881536,1777844104543070208
3,0,398,GEMM(10,3,1),1777844099117537280,1777844101978255360,1777844099098331136
3,0,402,GEMM(10,7,1),1777844099117918208,1777844101978255360,1777844099098331136
3,0,406,GEMM(10,11,1),1777844099118271488,1777844101978255360,1777844099113751552
3,0,410,GEMM(10,15,1),1777844099321817088,1777844102029267968,1777844099113750528
3,0,412,GEMM(11,3,1),1777844105374505984,1777844106176394240,1777844105122881536
3,0,416,GEMM(11,7,1),1777844106150241280,1777844106494528512,1777844105171926016
3,0,420,GEMM(11,11,1),1777844105175770112,1777844106150240256,1777844105092200448
3,0,424,GEMM(11,15,1),1777844104675344384,1777844105171926016,1777844104543976448
3,0,426,GEMM(12,3,1),1777844099118271488,1777844101978255360,1777844099113750528
3,0,430,GEMM(12,7,1),1777844099321817088,1777844102180596736,1777844099113750528
3,0,434,GEMM(12,11,1),1777844099118271488,1777844101978255360,1777844099113751552
3,0,438,GEMM(12,15,1),1777844099118524416,1777844102029267968,1777844099113751552
3,0,440,GEMM(13,3,1),1777844105374505984,1777844106176571392,1777844105122881536
3,0,444,GEMM(13,7,1),1777844106150241280,1777844106494528512,1777844105171926016
3,0,448,GEMM(13,11,1),1777844105175770112,1777844105821136896,1777844105092200448
3,0,452,GEMM(13,15,1),1777844104554509312,1777844105122880512,1777844104545164288
3,0,454,GEMM(14,3,1),1777844099321817088,1777844102029267968,1777844099113750528
3,0,458,GEMM(14,7,1),1777844099321817088,1777844102029267968,1777844099113750528
3,0,462,GEMM(14,11,1),1777844099118271488,1777844101978255360,1777844099113751552
3,0,466,GEMM(14,15,1),1777844099321817088,1777844102029267968,1777844099113751552
3,0,468,GEMM(15,3,1),1777844105374504960,1777844106494527488,1777844105122881536
3,0,472,GEMM(15,7,1),1777844106150306816,1777844106494528512,1777844105171926016
3,0,476,GEMM(15,11,1),1777844105175797760,1777844106150252544,1777844105092200448
3,0,480,GEMM(15,15,1),1777844104554199040,1777844105092201472,1777844104545220608
3,0,483,TRSM_L(2,3),1777844102033800192,1777844106507157504,1777844099113751552
3,0,491,TRSM_L(2,7),1777844102033800192,1777844106506911744,1777844099113750528
3,0,499,TRSM_L(2,11),1777844102033800192,1777844106507381760,1777844099113751552
3,0,507,TRSM_L(2,15),1777844102033801216,1777844106507266048,1777844099113751552
3,0,508,GEMM(3,3,2),1777844107432982528,1777844112424721408,1777844106494526464
3,0,512,GEMM(3,7,2),1777844107615729664,1777844112878778368,1777844106494897152
3,0,516,GEMM(3,11,2),1777844107432858624,1777844112424720384,1777844106461675520
3,0,520,GEMM(3,15,2),1777844107432998912,1777844112424721408,1777844105171926016
3,0,521,GEMM(4,3,2),1777844106537116672,1777844107431448576,1777844102029267968
3,0,525,GEMM(4,7,2),1777844106537116672,1777844111821537280,1777844102029268992
3,0,529,GEMM(4,11,2),1777844106537116672,1777844107431336960,1777844102029268992
3,0,533,GEMM(4,15,2),1777844106537116672,1777844107431336960,1777844102034195456
3,0,534,GEMM(5,3,2),1777844107432998912,1777844112424723456,1777844106494526464
3,0,538,GEMM(5,7,2),1777844107432920064,1777844112424720384,1777844106494897152
3,0,542,GEMM(5,11,2),1777844107431727104,1777844112425053184,1777844106475900928
3,0,546,GEMM(5,15,2),1777844107433093120,1777844112424723456,1777844105175769088
3,0,547,GEMM(6,3,2),1777844107432966144,1777844112424721408,1777844102029268992
3,0,551,GEMM(6,7,2),1777844107615688704,1777844112424723456,1777844102291609600
3,0,555,GEMM(6,11,2),1777844107432920064,1777844112424720384,1777844102029268992
3,0,559,GEMM(6,15,2),1777844107432965120,1777844112424721408,1777844102034554880
3,0,560,GEMM(7,3,2),1777844107432998912,1777844112424722432,1777844106494526464
3,0,564,GEMM(7,7,2),1777844107432966144,1777844112424721408,1777844106494897152
3,0,568,GEMM(7,11,2),1777844107433288704,1777844112425074688,1777844106475900928
3,0,572,GEMM(7,15,2),1777844107432966144,1777844112424723456,1777844105175769088
3,0,573,GEMM(8,3,2),1777844107432965120,1777844112424721408,1777844102034894848
3,0,577,GEMM(8,7,2),1777844107615688704,1777844112424723456,1777844102291609600
3,0,581,GEMM(8,11,2),1777844107432919040,1777844112425074688,1777844102029320192
3,0,585,GEMM(8,15,2),1777844107432858624,1777844112424720384,1777844102034587648
3,0,586,GEMM(9,3,2),1777844107432966144,1777844112424721408,1777844106494897152
3,0,590,GEMM(9,7,2),1777844107432998912,1777844112424722432,1777844106494897152
3,0,594,GEMM(9,11,2),1777844107432966144,1777844112424721408,1777844106475901952
3,0,598,GEMM(9,15,2),1777844107432997888,1777844112424722432,1777844105175769088
3,0,599,GEMM(10,3,2),1777844107432997888,1777844112424722432,1777844106507173888
3,0,603,GEMM(10,7,2),1777844107432998912,1777844112424722432,1777844106506916864
3,0,607,GEMM(10,11,2),1777844107432998912,1777844112425018368,1777844106507386880
3,0,611,GEMM(10,15,2),1777844107433146368,1777844112424722432,1777844106507272192
3,0,612,GEMM(11,3,2),1777844113760285696,1777844116768800768,1777844112873276416
3,0,616,GEMM(11,7,2),1777844116767356928,1777844116854474752,1777844113147313152
3,0,620,GEMM(11,11,2),1777844113760328704,1777844116768800768,1777844112873276416
3,0,624,GEMM(11,15,2),1777844113380428800,1777844116758227968,1777844112426938368
3,0,625,GEMM(12,3,2),1777844112426650624,1777844112878778368,1777844107433410560
3,0,629,GEMM(12,7,2),1777844112879172608,1777844114871969792,1777844112424722432
3,0,633,GEMM(12,11,2),1777844112426720256,1777844113378745344,1777844107615688704
3,0,637,GEMM(12,15,2),1777844112875882496,1777844113380428800,1777844107615688704
3,0,638,GEMM(13,3,2),1777844113760285696,1777844116768800768,1777844112873276416
3,0,642,GEMM(13,7,2),1777844116767356928,1777844116854474752,1777844113147313152
3,0,646,GEMM(13,11,2),1777844113381405696,1777844116768799744,1777844112873276416
3,0,650,GEMM(13,15,2),1777844113380428800,1777844116767357952,1777844112426939392
3,0,651,GEMM(14,3,2),1777844113380428800,1777844116758227968,1777844112427207680
3,0,655,GEMM(14,7,2),1777844113381309440,1777844116768325632,1777844112873276416
3,0,659,GEMM(14,11,2),1777844113362433024,1777844115174489088,1777844112426733568
3,0,663,GEMM(14,15,2),1777844113380560896,1777844116768325632,1777844112427055104
3,0,664,GEMM(15,3,2),1777844113760338944,1777844116768800768,1777844112873276416
3,0,668,GEMM(15,7,2),1777844116767357952,1777844116894176256,1777844113147313152
3,0,672,GEMM(15,11,2),1777844113616313344,1777844116768800768,1777844112873276416
3,0,676,GEMM(15,15,2),1777844113362433024,1777844116758227968,1777844112426939392
3,0,677,GETRF(3),1777844112427051008,1777844113381308416,0
3,0,678,TRSM_R(4,3),1777844112873276416,1777844117047199744,0
3,0,680,TRSM_R(5,3),1777844112426784768,1777844117047293952,0
3,0,682,TRSM_R(6,3),1777844112427058176,1777844117067230208,0
3,0,684,TRSM_R(7,3),1777844112873276416,1777844117047116800,0
3,0,685,TRSM_L(3,7),1777844113147313152,1777844117035792384,0
3,0,686,TRSM_R(8,3),1777844112873276416,1777844117067230208,0
3,0,688,TRSM_R(9,3),1777844112427123712,1777844117047294976,0
3,0,690,TRSM_R(10,3),1777844113147313152,1777844117108914176,0
3,0,692,TRSM_R(11,3),1777844112873276416,1777844117067230208,0
3,0,693,TRSM_L(3,11),1777844112426785792,1777844117028560896,0
3,0,694,TRSM_R(12,3),1777844112427409408,1777844117067230208,0
3,0,696,TRSM_R(13,3),1777844116833369088,1777844117200397312,0
3,0,698,TRSM_R(14,3),1777844116934725632,1777844117220945920,0
3,0,700,TRSM_R(15,3),1777844116833368064,1777844117209947136,0
3,0,701,TRSM_L(3,15),1777844116768857088,1777844117067230208,0
3,0,705,GEMM(4,7,3),1777844113362432000,1777844115174489088,0
3,0,709,GEMM(4,11,3),1777844116768570368,1777844116894311424,0
3,0,713,GEMM(4,15,3),1777844113765489664,1777844116768890880,0
3,0,717,GEMM(5,7,3),1777844114022372352,1777844116823974912,0
3,0,721,GEMM(5,11,3),1777844116833369088,1777844116935558144,0
3,0,725,GEMM(5,15,3),1777844116934725632,1777844116957758464,0
3,0,729,GEMM(6,7,3),1777844116833369088,1777844116935557120,0
3,0,733,GEMM(6,11,3),1777844116813042688,1777844116935153664,0
3,0,737,GEMM(6,15,3),1777844116768858112,1777844116935153664,0
3,0,741,GEMM(7,7,3),1777844116813246464,1777844116935153664,0
3,0,745,GEMM(7,11,3),1777844116768799744,1777844116934496256,0
3,0,749,GEMM(7,15,3),1777844116813246464,1777844116935450624,0
3,0,753,GEMM(8,7,3),1777844116833369088,1777844116955728896,0
3,0,757,GEMM(8,11,3),1777844116935153664,1777844116957776896,0
3,0,761,GEMM(8,15,3),1777844116833369088,1777844116935557120,0
3,0,765,GEMM(9,7,3),1777844116813042688,1777844116935153664,0
3,0,769,GEMM(9,11,3),1777844116768858112,1777844116934496256,0
3,0,773,GEMM(9,15,3),1777844117047385088,1777844117108914176,0
3,0,777,GEMM(10,7,3),1777844117067230208,1777844117109104640,0
3,0,781,GEMM(10,11,3),1777844117109102592,1777844117179528192,0
3,0,785,GEMM(10,15,3),1777844117047385088,1777844117069293568,0
3,0,789,GEMM(11,7,3),1777844117036045312,1777844117047294976,0
3,0,793,GEMM(11,11,3),1777844117109102592,1777844117179528192,0
3,0,797,GEMM(11,15,3),1777844117067230208,1777844117109103616,0
3,0,801,GEMM(12,7,3),1777844117179527168,1777844117200397312,0
3,0,805,GEMM(12,11,3),1777844117109103616,1777844117179528192,0
3,0,809,GEMM(12,15,3),1777844117067230208,1777844117109104640,0
3,0,813,GEMM(13,7,3),1777844117109102592,1777844117179528192,0
3,0,817,GEMM(13,11,3),1777844117200465920,1777844117219896320,0
3,0,821,GEMM(13,15,3),1777844117221013504,1777844117231438848,0
3,0,825,GEMM(14,7,3),1777844117210343424,1777844117230027776,0
3,0,829,GEMM(14,11,3),1777844117108913152,1777844117179528192,0
3,0,833,GEMM(14,15,3),1777844117179527168,1777844117209948160,0
3,0,837,GEMM(15,7,3),1777844117109103616,1777844117200396288,0
3,0,841,GEMM(15,11,3),1777844117067230208,1777844117179527168,0
3,0,845,GEMM(15,15,3),1777844117109102592,1777844117179528192,0
