pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
2,0,4,TRSM_L(0,2),1777844079819208960,1777844091311997184,1777844079683285248
2,0,12,TRSM_L(0,6),1777844079819208960,1777844090160173312,1777844079683295488
2,0,20,TRSM_L(0,10),1777844079819208960,1777844089405660416,1777844079683303680
2,0,28,TRSM_L(0,14),1777844079819208960,1777844091571853568,1777844079683310848
2,0,32,GEMM(1,2,0),1777844079969410304,1777844086145521920,1777844079683315968
2,0,36,GEMM(1,6,0),1777844079969219840,1777844086145519872,1777844079683323136
2,0,40,GEMM(1,10,0),1777844079969219840,1777844086145519872,1777844079683330304
2,0,44,GEMM(1,14,0),1777844079969220864,1777844086145519872,1777844079683337472
2,0,47,GEMM(2,2,0),1777844079969408256,1777844086145520896,1777844079683346688
2,0,51,GEMM(2,6,0),1777844079969220864,1777844086145519872,1777844079683351808
2,0,55,GEMM(2,10,0),1777844079969233152,1777844086145520896,1777844079683357952
2,0,59,GEMM(2,14,0),1777844079969717504,1777844089084351744,1777844079683364096
2,0,62,GEMM(3,2,0),1777844079969347840,1777844086145520896,1777844079683375360
2,0,66,GEMM(3,6,0),1777844079969408256,1777844086145521920,1777844079683381504
2,0,70,GEMM(3,10,0),1777844079969407232,1777844086145707264,1777844079683387648
2,0,74,GEMM(3,14,0),1777844079969407232,1777844086145520896,1777844079683395840
2,0,77,GEMM(4,2,0),1777844079969408256,1777844086145520896,1777844079683401984
2,0,81,GEMM(4,6,0),1777844079969410304,1777844086145522944,1777844079683408128
2,0,85,GEMM(4,10,0),1777844079969408256,1777844086145520896,1777844079683414272
2,0,89,GEMM(4,14,0),1777844079969408256,1777844086145520896,1777844079683420416
2,0,92,GEMM(5,2,0),1777844079969220864,1777844086145519872,1777844079683428608
2,0,96,GEMM(5,6,0),1777844079969409280,1777844086145521920,1777844079683434752
2,0,100,GEMM(5,10,0),1777844079969409280,1777844086145521920,1777844079683442944
2,0,104,GEMM(5,14,0),1777844079969409280,1777844086145521920,1777844079683449088
2,0,107,GEMM(6,2,0),1777844079969409280,1777844086145521920,1777844079683455232
2,0,111,GEMM(6,6,0),1777844079969409280,1777844086145521920,1777844079683463424
2,0,115,GEMM(6,10,0),1777844079969407232,1777844086145520896,1777844079683470592
2,0,119,GEMM(6,14,0),1777844079969410304,1777844086145521920,1777844079683478784
2,0,122,GEMM(7,2,0),1777844079969410304,1777844086145521920,1777844079683485952
2,0,126,GEMM(7,6,0),1777844079969409280,1777844086145522944,1777844079683493120
2,0,130,GEMM(7,10,0),1777844079969244416,1777844086145519872,1777844079683499264
2,0,134,GEMM(7,14,0),1777844079968998656,1777844086145650944,1777844079683505408
