pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
0,0,375,GEMM(8,8,1),1777844094596272384,1777844099353138432,1777844080224089344
0,0,379,GEMM(8,12,1),1777844094596272384,1777844099353138432,1777844080224028928
0,0,385,GEMM(9,4,1),1777844094583847168,1777844099353137408,1777844080224067840
0,0,389,GEMM(9,8,1),1777844094583848192,1777844099353757952,1777844080243757312
0,0,393,GEMM(9,12,1),1777844094583848192,1777844099353136384,1777844080244907264
0,0,399,GEMM(10,4,1),1777844094596273408,1777844099353138432,1777844080233957632
0,0,403,GEMM(10,8,1),1777844094596412672,1777844099353138432,1777844080143717632
0,0,407,GEMM(10,12,1),1777844094596290816,1777844099353138432,1777844080224100608
0,0,413,GEMM(11,4,1),1777844093461475584,1777844099353136384,1777844080224090368
0,0,417,GEMM(11,8,1),1777844093253638400,1777844094596272384,1777844080224028928
0,0,421,GEMM(11,12,1),1777844102023891200,1777844103371579648,1777844101565091072
0,0,427,GEMM(12,4,1),1777844103378230528,1777844103904660736,1777844103376966912
0,0,431,GEMM(12,8,1),1777844101565387008,1777844102023891200,1777844101565080832
0,0,435,GEMM(12,12,1),1777844099513056512,1777844100929430784,1777844099369338112
0,0,441,GEMM(13,4,1),1777844099372984576,1777844100879629568,1777844099369338112
0,0,445,GEMM(13,8,1),1777844099373018368,1777844100879629568,1777844099369340160
0,0,449,GEMM(13,12,1),1777844099372985600,1777844100879629568,1777844099369339136
0,0,455,GEMM(14,4,1),1777844099373276416,1777844100892796160,1777844099369339136
0,0,459,GEMM(14,8,1),1777844102023994624,1777844103904660736,1777844101565423872
0,0,463,GEMM(14,12,1),1777844103378459904,1777844103916466432,1777844103376966912
0,0,469,GEMM(15,4,1),1777844101565460736,1777844103366038784,1777844101565086976
0,0,473,GEMM(15,8,1),1777844099372984576,1777844100879629568,1777844099369339136
0,0,477,GEMM(15,12,1),1777844099372705024,1777844100879629568,1777844099369338112
0,0,485,TRSM_L(2,4),1777844103357034752,1777844104746819840,1777844099369340160
0,0,493,TRSM_L(2,8),1777844102898196736,1777844104748404992,1777844099369339136
0,0,501,TRSM_L(2,12),1777844102026157312,1777844104748081408,1777844099369340160
0,0,509,GEMM(3,4,2),1777844107187204352,1777844112540239104,1777844101565406464
0,0,513,GEMM(3,8,2),1777844107187155200,1777844112540239104,1777844103376967936
0,0,517,GEMM(3,12,2),1777844107187089664,1777844112540238080,1777844101565088000
0,0,522,GEMM(4,4,2),1777844106537017600,1777844107185972480,1777844099369339136
0,0,526,GEMM(4,8,2),1777844106537016576,1777844107185972480,1777844099369338112
0,0,530,GEMM(4,12,2),1777844106537017600,1777844111936417024,1777844099371298048
0,0,535,GEMM(5,4,2),1777844107187154176,1777844112540238080,1777844099369339136
0,0,539,GEMM(5,8,2),1777844107187154176,1777844112540238080,1777844099369340160
0,0,543,GEMM(5,12,2),1777844107186608384,1777844112540237056,1777844101565387008
0,0,548,GEMM(6,4,2),1777844107187204352,1777844112540336384,1777844103376967936
0,0,552,GEMM(6,8,2),1777844107187155200,1777844112540239104,1777844101565089024
0,0,556,GEMM(6,12,2),1777844107187089664,1777844112540238080,1777844099369339136
0,0,561,GEMM(7,4,2),1777844107187088640,1777844112540237056,1777844099369338112
0,0,565,GEMM(7,8,2),1777844107187154176,1777844112540238080,1777844099371298048
0,0,569,GEMM(7,12,2),1777844107187154176,1777844112540238080,1777844099369339136
0,0,574,GEMM(8,4,2),1777844107431910656,1777844112540240128,1777844099369340160
0,0,578,GEMM(8,8,2),1777844107187154176,1777844112540238080,1777844103376967936
0,0,582,GEMM(8,12,2),1777844107187154176,1777844112540239104,1777844103906840832
0,0,587,GEMM(9,4,2),1777844107187204352,1777844112540386560,1777844102026081536
0,0,591,GEMM(9,8,2),1777844107187088640,1777844112540237056,1777844100949276928
0,0,595,GEMM(9,12,2),1777844107431910656,1777844112540240128,1777844100892796160
0,0,600,GEMM(10,4,2),1777844107187088640,1777844112540237056,1777844100892796160
0,0,604,GEMM(10,8,2),1777844107187088640,1777844112540261632,1777844100892796160
0,0,608,GEMM(10,12,2),1777844107187154176,1777844112540238080,1777844100894099712
0,0,613,GEMM(11,4,2),1777844107187256576,1777844112540240128,1777844103905712384
0,0,617,GEMM(11,8,2),1777844107431910656,1777844112680051968,1777844103919657216
0,0,621,GEMM(11,12,2),1777844107187204352,1777844112540239104,1777844103376967936
0,0,626,GEMM(12,4,2),1777844107187250432,1777844112540240128,1777844100949276928
0,0,630,GEMM(12,8,2),1777844107187157248,1777844112540258560,1777844100892796160
0,0,634,GEMM(12,12,2),1777844107187154176,1777844112540239104,1777844104746910976
0,0,639,GEMM(13,4,2),1777844107187204352,1777844112540240128,1777844104748410112
0,0,643,GEMM(13,8,2),1777844107187204352,1777844112540239104,1777844104748252416
0,0,647,GEMM(13,12,2),1777844113393636608,1777844113992084736,1777844112680048896
0,0,652,GEMM(14,4,2),1777844113155572992,1777844113976578304,1777844112680049920
0,0,656,GEMM(14,8,2),1777844113154610432,1777844113976578304,1777844112541701376
0,0,660,GEMM(14,12,2),1777844112680048896,1777844113154611456,1777844107431910656
0,0,665,GEMM(15,4,2),1777844112541678848,1777844113154610432,1777844107187287296
0,0,669,GEMM(15,8,2),1777844112680641792,1777844113638216960,1777844112540239104
0,0,673,GEMM(15,12,2),1777844113393636608,1777844113976578304,1777844112680049920
0,0,679,TRSM_L(3,4),1777844114037142784,1777844116744546560,1777844112540985600
0,0,687,TRSM_L(3,8),1777844114037141760,1777844116734673152,1777844112680047872
0,0,695,TRSM_L(3,12),1777844114037141760,1777844116747099392,1777844112680050944
0,0,702,GEMM(4,4,3),1777844117047231744,1777844118140763392,1777844112542007552
0,0,706,GEMM(4,8,3),1777844117047232768,1777844118140764416,1777844112680048896
0,0,710,GEMM(4,12,3),1777844117047230720,1777844118140763392,1777844112680049920
0,0,714,GEMM(5,4,3),1777844118141730048,1777844124225155328,1777844112542105856
0,0,718,GEMM(5,8,3),1777844118141730048,1777844124225155328,1777844112680049920
0,0,722,GEMM(5,12,3),1777844118141918464,1777844124225156352,1777844112680050944
0,0,726,GEMM(6,4,3),1777844118141710592,1777844124225154304,1777844112680048896
0,0,730,GEMM(6,8,3),1777844118141729024,1777844124225155328,1777844112680049920
0,0,734,GEMM(6,12,3),1777844118141697280,1777844124225154304,1777844112541954304
0,0,738,GEMM(7,4,3),1777844117047232768,1777844118140923136,1777844112680048896
0,0,742,GEMM(7,8,3),1777844117047231744,1777844118140764416,1777844112680049920
0,0,746,GEMM(7,12,3),1777844117047232768,1777844124001911040,1777844112680048896
0,0,750,GEMM(8,4,3),1777844118141730048,1777844124225155328,1777844112680049920
0,0,754,GEMM(8,8,3),1777844118141730048,1777844124225155328,1777844112680050944
0,0,758,GEMM(8,12,3),1777844118141731072,1777844124225156352,1777844112680048896
0,0,762,GEMM(9,4,3),1777844118141698304,1777844124225154304,1777844112680530176
0,0,766,GEMM(9,8,3),1777844118141729024,1777844124225154304,1777844112541955328
0,0,770,GEMM(9,12,3),1777844118142108928,1777844124233038080,1777844112680048896
0,0,774,GEMM(10,4,3),1777844118141729024,1777844124225154304,1777844112680049920
0,0,778,GEMM(10,8,3),1777844118141797632,1777844124225493248,1777844112680132864
0,0,782,GEMM(10,12,3),1777844118141730048,1777844124225155328,1777844112680050944
0,0,786,GEMM(11,4,3),1777844118141730048,1777844124225155328,1777844112680050944
0,0,790,GEMM(11,8,3),1777844118141731072,1777844124225156352,1777844113992105216
0,0,794,GEMM(11,12,3),1777844118141773056,1777844124225461504,1777844113977841920
0,0,798,GEMM(12,4,3),1777844118141729024,1777844124225154304,1777844113977745664
0,0,802,GEMM(12,8,3),1777844118141698304,1777844124225154304,1777844113155126528
0,0,806,GEMM(12,12,3),1777844118140981504,1777844124225153280,1777844113393636608
0,0,810,GEMM(13,4,3),1777844118141729024,1777844124225154304,1777844113976577280
0,0,814,GEMM(13,8,3),1777844118405501184,1777844124456288512,1777844113977963776
0,0,818,GEMM(13,12,3),1777844118141828352,1777844124230957312,1777844116745399552
0,0,822,GEMM(14,4,3),1777844118141729024,1777844124225155328,1777844116735370496
0,0,826,GEMM(14,8,3),1777844118141697280,1777844124225358080,1777844116747105536
0,0,830,GEMM(14,12,3),1777844124355205376,1777844124791476480,1777844118405501184
0,0,834,GEMM(15,4,3),1777844124355204352,1777844124791057664,1777844118405501184
0,0,838,GEMM(15,8,3),1777844124233038080,1777844124456288512,1777844118141828352
0,0,842,GEMM(15,12,3),1777844124791216384,1777844124856730880,1777844124233039104
0,0,846,GETRF(4),1777844124233040128,1777844124801109248,0
0,0,847,TRSM_R(5,4),1777844124233039104,1777844124951218432,0
0,0,849,TRSM_R(6,4),1777844124233038080,1777844124950438144,0
0,0,851,TRSM_R(7,4),1777844124233038080,1777844124951219456,0
0,0,853,TRSM_R(8,4),1777844124233265408,1777844124961074432,0
0,0,854,TRSM_L(4,8),1777844118405501184,1777844124948346112,0
0,0,855,TRSM_R(9,4),1777844118141829376,1777844124948781312,0
0,0,857,TRSM_R(10,4),1777844124233039104,1777844124951218432,0
