op_name,pe,freq_mhz,energy_consumed_uj,executiontime_ns,average_waittime_ns
POTRF(4),0,240,10626486,491837440,0
TRSM(5;4),0,240,31979708,1476919296,0
TRSM(6;4),0,240,32555042,1476899840,0
TRSM(7;4),0,240,32013646,1476923392,0
POTRF(0),0,240,10489606,491811840,0
TRSM(1;0),0,240,32039187,1476925440,0
TRSM(2;0),0,240,32503008,1476893696,0
TRSM(3;0),0,240,32034858,1476904960,0
TRSM(4;0),0,240,32518767,1476922368,0
TRSM(5;0),0,240,32641826,1476923392,0
TRSM(6;0),0,240,32645754,1476943872,0
TRSM(7;0),0,240,32687428,1476911104,0
SYRK(4;0),0,240,30205197,1363446784,0
GEMM(5;4;0),0,240,59762634,2727634944,0
GEMM(6;4;0),0,240,59615103,2727604224,0
GEMM(7;4;0),0,240,59595363,2727623680,0
SYRK(4;1),0,240,372797409,17240156160,119165384294
GEMM(5;4;1),0,240,359281893,17214305280,21709
GEMM(6;4;1),0,240,382498558,17440289792,22528
GEMM(7;4;1),0,240,357248363,16939067392,22528
SYRK(4;2),0,240,373730381,17657711616,34498528461
GEMM(5;4;2),0,240,377237808,17243864064,21709
GEMM(6;4;2),0,240,376292346,17724490752,21914
GEMM(7;4;2),0,240,344876664,16140411904,22118
SYRK(4;3),0,240,29555003,1363613696,3388246221
GEMM(5;4;3),0,240,358632683,16789743616,113314202
GEMM(6;4;3),0,240,364957922,16629274624,22528
GEMM(7;4;3),0,240,298374321,14186474496,22118
POTRF(4),0,240,10631426,491825152,0
TRSM(5;4),0,240,31971617,1476923392,0
TRSM(6;4),0,240,32612013,1476908032,0
TRSM(7;4),0,240,31927464,1476914176,0
POTRF(0),0,315,8001968,374732800,0
TRSM(1;0),0,315,24857172,1125296128,0
TRSM(2;0),0,315,25330447,1125288960,0
TRSM(3;0),0,315,24830050,1125315584,0
TRSM(4;0),0,315,25188294,1125306368,0
TRSM(5;0),0,315,25365603,1125331968,0
TRSM(6;0),0,315,25365840,1125327872,0
TRSM(7;0),0,315,25356666,1125299200,0
SYRK(4;0),0,315,23285572,1038818304,0
GEMM(5;4;0),0,315,46360819,2078188544,0
GEMM(6;4;0),0,315,46495399,2078182400,0
GEMM(7;4;0),0,315,46286259,2078198784,0
SYRK(4;1),0,315,372439899,16733374464,115837199565
GEMM(5;4;1),0,315,351687778,16395781120,16998
GEMM(6;4;1),0,315,350039289,16102348800,17613
GEMM(7;4;1),0,315,354698217,16814877696,17818
SYRK(4;2),0,315,378742012,17603238912,31807450317
GEMM(5;4;2),0,315,376894697,17523046400,17408
GEMM(6;4;2),0,315,379592863,17403339776,17408
GEMM(7;4;2),0,315,339184488,15818311680,17408
SYRK(4;3),0,315,22830511,1038996480,2577969766
GEMM(5;4;3),0,315,346251779,15813134336,86320333
GEMM(6;4;3),0,315,349926954,16042953728,17818
GEMM(7;4;3),0,315,264510856,12475862016,18227
POTRF(4),0,315,8134829,374734848,0
TRSM(5;4),0,315,24896313,1125315584,0
TRSM(6;4),0,315,25294257,1125315584,0
TRSM(7;4),0,315,24696950,1125299200,0
POTRF(0),0,315,8153066,374742016,0
TRSM(1;0),0,315,24644516,1125293056,0
TRSM(2;0),0,315,25367489,1125292032,0
TRSM(3;0),0,315,24774552,1125302272,0
TRSM(4;0),0,315,25112509,1125291008,0
TRSM(5;0),0,315,25255577,1125326848,0
TRSM(6;0),0,315,25286470,1125332992,0
TRSM(7;0),0,315,25268621,1125305344,0
SYRK(4;0),0,315,23489517,1038818304,0
GEMM(5;4;0),0,315,46184471,2078191616,0
GEMM(6;4;0),0,315,46290973,2078175232,0
GEMM(7;4;0),0,315,46283011,2078196736,0
SYRK(4;1),0,315,364981612,16546366464,115837199565
GEMM(5;4;1),0,315,353592989,16513927168,16998
GEMM(6;4;1),0,315,345289201,16337930240,17613
GEMM(7;4;1),0,315,360461776,16595986432,17818
SYRK(4;2),0,315,404758036,18096538624,31807450317
GEMM(5;4;2),0,315,374764579,18025724928,17408
GEMM(6;4;2),0,315,379844118,17552381952,17408
GEMM(7;4;2),0,315,321361941,14794804224,17408
SYRK(4;3),0,315,23134520,1038990336,2577969766
GEMM(5;4;3),0,315,376824820,17292736512,86320333
GEMM(6;4;3),0,315,366263469,16924294144,17818
GEMM(7;4;3),0,315,294768079,13778156544,18227
POTRF(4),0,315,8218134,374737920,0
TRSM(5;4),0,315,24744936,1125311488,0
TRSM(6;4),0,315,25309947,1125313536,0
TRSM(7;4),0,315,24765983,1125314560,0
POTRF(0),0,315,8184161,374739968,0
TRSM(1;0),0,315,24769635,1125317632,0
TRSM(2;0),0,315,25288355,1125301248,0
TRSM(3;0),0,315,24785521,1125304320,0
TRSM(4;0),0,315,25166615,1125306368,0
TRSM(5;0),0,315,25312186,1125316608,0
TRSM(6;0),0,315,25311252,1125319680,0
TRSM(7;0),0,315,25306575,1125312512,0
SYRK(4;0),0,315,23526699,1038818304,0
GEMM(5;4;0),0,315,46202643,2078193664,0
GEMM(6;4;0),0,315,46317559,2078190592,0
GEMM(7;4;0),0,315,46250301,2078191616,0
SYRK(4;1),0,315,341907080,15869490176,115837199565
GEMM(5;4;1),0,315,349765012,16118799360,16998
GEMM(6;4;1),0,315,350210702,16360007680,17613
GEMM(7;4;1),0,315,347108234,16240865280,17818
SYRK(4;2),0,315,397650522,18214921216,31807450317
GEMM(5;4;2),0,315,374609885,17618260992,17408
GEMM(6;4;2),0,315,383479010,17553669120,17408
GEMM(7;4;2),0,315,324862403,15188081664,17408
SYRK(4;3),0,315,22830749,1038999552,2577969766
GEMM(5;4;3),0,315,371107119,16990128128,86320333
GEMM(6;4;3),0,315,366111081,16947732480,17818
GEMM(7;4;3),0,315,293625114,13714333696,18227
POTRF(4),0,315,8335741,374732800,0
TRSM(5;4),0,315,24746927,1125316608,0
TRSM(6;4),0,315,25291440,1125306368,0
TRSM(7;4),0,315,24761482,1125314560,0
POTRF(0),0,315,8182509,374736896,0
TRSM(1;0),0,315,24737282,1125309440,0
TRSM(2;0),0,315,25258791,1125299200,0
TRSM(3;0),0,315,24791788,1125312512,0
TRSM(4;0),0,315,25090682,1125296128,0
TRSM(5;0),0,315,25254788,1125328896,0
TRSM(6;0),0,315,25270616,1125312512,0
TRSM(7;0),0,315,25283846,1125302272,0
SYRK(4;0),0,315,23502234,1038818304,0
GEMM(5;4;0),0,315,46159538,2078203904,0
GEMM(6;4;0),0,315,46296603,2078191616,0
GEMM(7;4;0),0,315,46241598,2078188544,0
SYRK(4;1),0,315,364904242,16502205440,115837199565
GEMM(5;4;1),0,315,348106503,16462380032,16998
GEMM(6;4;1),0,315,366600157,16619591680,17613
GEMM(7;4;1),0,315,347495714,16385187840,17818
SYRK(4;2),0,315,392167703,17852746752,31807450317
GEMM(5;4;2),0,315,385586428,17812413440,17408
GEMM(6;4;2),0,315,380065930,17652925440,17408
GEMM(7;4;2),0,315,322281746,15085936640,17408
SYRK(4;3),0,315,22939271,1039007744,2577969766
GEMM(5;4;3),0,315,355663366,16094489600,86320333
GEMM(6;4;3),0,315,356387925,16758949888,17818
GEMM(7;4;3),0,315,284902407,13194927104,18227
POTRF(4),0,315,7049478,374736896,0
TRSM(5;4),0,315,24836390,1125325824,0
TRSM(6;4),0,315,25276383,1125305344,0
TRSM(7;4),0,315,24770244,1125309440,0
POTRF(0),0,315,8311824,374742016,0
TRSM(1;0),0,315,24724675,1125307392,0
TRSM(2;0),0,315,25269489,1125279744,0
TRSM(3;0),0,315,24802908,1125304320,0
TRSM(4;0),0,315,25142204,1125293056,0
TRSM(5;0),0,315,25285927,1125321728,0
TRSM(6;0),0,315,25307916,1125315584,0
TRSM(7;0),0,315,25265505,1125303296,0
SYRK(4;0),0,315,23516675,1038818304,0
GEMM(5;4;0),0,315,46161619,2078195712,0
GEMM(6;4;0),0,315,46259981,2078171136,0
GEMM(7;4;0),0,315,46259931,2078208000,0
SYRK(4;1),0,315,359275301,16477042688,115837199565
GEMM(5;4;1),0,315,363059876,16635319296,16998
GEMM(6;4;1),0,315,344168279,16183949312,17613
GEMM(7;4;1),0,315,358241625,16540958720,17818
SYRK(4;2),0,315,389106799,17984972800,31807450317
GEMM(5;4;2),0,315,394609201,17856458752,17408
GEMM(6;4;2),0,315,382818880,17930288128,17408
GEMM(7;4;2),0,315,345308515,16275394560,17408
SYRK(4;3),0,315,22975980,1039000576,2577969766
GEMM(5;4;3),0,315,355314679,16531982336,86320333
GEMM(6;4;3),0,315,363778951,16675904512,17818
GEMM(7;4;3),0,315,309017753,14332852224,18227
POTRF(4),0,315,7219153,374736896,0
TRSM(5;4),0,315,24734188,1125306368,0
TRSM(6;4),0,315,25279727,1125284864,0
TRSM(7;4),0,315,24748090,1125302272,0
POTRF(0),0,390,6821190,302685184,0
TRSM(1;0),0,390,20319404,908929024,0
TRSM(2;0),0,390,20827315,908922880,0
TRSM(3;0),0,390,20375374,908932096,0
TRSM(4;0),0,390,20710059,908949504,0
TRSM(5;0),0,390,20792670,908954624,0
TRSM(6;0),0,390,20836655,908944384,0
TRSM(7;0),0,390,20838258,908947456,0
SYRK(4;0),0,390,19307862,839046144,0
GEMM(5;4;0),0,390,37922643,1678553088,0
GEMM(6;4;0),0,390,38212273,1678532608,0
GEMM(7;4;0),0,390,38033167,1678558208,0
SYRK(4;1),0,390,358904874,16814028800,119460724122
GEMM(5;4;1),0,390,367755102,16629337088,14336
GEMM(6;4;1),0,390,356366266,16658258944,14950
GEMM(7;4;1),0,390,364154303,16627231744,14950
SYRK(4;2),0,390,387912107,17732720640,31133470515
GEMM(5;4;2),0,390,377104473,17046435840,14541
GEMM(6;4;2),0,390,367775816,17150185472,14950
GEMM(7;4;2),0,390,334383225,15245620224,14950
SYRK(4;3),0,390,18923653,839258112,2080060621
GEMM(5;4;3),0,390,361517717,15897843712,69689754
GEMM(6;4;3),0,390,342389895,16213421056,14746
GEMM(7;4;3),0,390,299701549,13745735680,15155
POTRF(4),0,390,7195780,302675968,0
TRSM(5;4),0,390,20374758,908944384,0
TRSM(6;4),0,390,20843305,908940288,0
TRSM(7;4),0,390,20383293,908936192,0
POTRF(0),0,390,6753123,302683136,0
TRSM(1;0),0,390,20434841,908932096,0
TRSM(2;0),0,390,20846638,908922880,0
TRSM(3;0),0,390,20439818,908935168,0
TRSM(4;0),0,390,20719526,908961792,0
TRSM(5;0),0,390,20828081,908957696,0
TRSM(6;0),0,390,20804817,908950528,0
TRSM(7;0),0,390,20841011,908966912,0
SYRK(4;0),0,390,19281762,839045120,0
GEMM(5;4;0),0,390,38156274,1678556160,0
GEMM(6;4;0),0,390,38027797,1678530560,0
GEMM(7;4;0),0,390,38120029,1678556160,0
SYRK(4;1),0,390,372671850,16544274432,119460724122
GEMM(5;4;1),0,390,379823697,17128022016,14336
GEMM(6;4;1),0,390,360316029,16884286464,14950
GEMM(7;4;1),0,390,354204184,16329587712,14950
SYRK(4;2),0,390,390058779,17759341568,31133470515
GEMM(5;4;2),0,390,384425244,17555329024,14541
GEMM(6;4;2),0,390,362804539,16587754496,14950
GEMM(7;4;2),0,390,341600656,15816217600,14950
SYRK(4;3),0,390,19000578,839241728,2080060621
GEMM(5;4;3),0,390,354647180,16252913664,69689754
GEMM(6;4;3),0,390,357384442,16144184320,14746
GEMM(7;4;3),0,390,261815307,12074208256,15155
POTRF(4),0,390,6932199,302681088,0
TRSM(5;4),0,390,20383554,908950528,0
TRSM(6;4),0,390,20872440,908925952,0
TRSM(7;4),0,390,20393627,908937216,0
POTRF(0),0,390,6743631,302683136,0
TRSM(1;0),0,390,20422886,908938240,0
TRSM(2;0),0,390,20864592,908921856,0
TRSM(3;0),0,390,20430358,908924928,0
TRSM(4;0),0,390,20724659,908960768,0
TRSM(5;0),0,390,20846883,908959744,0
TRSM(6;0),0,390,20865338,908958720,0
