metric,baseline,Slack-Aware,ratio
EDP,1277094.53605871,1878085.9165258023,0.6799979302444039
ED$^2$P,150847540.2841914,219376000.72244787,0.6876209785364903
E$^2$DP,13808004103.958757,30196544857.386322,0.4572709947171723
Mean Energy (J),10597.306000000051,16078.361799999931,0.6591035910138616
Mean Time (s),114.40709867519999,116.8082880512,0.9794433304685751
