metric,baseline,Slack-Aware,ratio
EDP,693986.7991367917,1065776.2697329957,0.6511561749359022
ED$^2$P,59683394.74739268,93811795.6749495,0.6362035212948162
E$^2$DP,5559821533.519881,12904485365.211084,0.4308441116534938
Mean Energy (J),7871.321199999982,12108.062199999997,0.6500892603607524
Mean Time (s),85.34523264,88.0220345856,0.9695894106719739
