pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
1,0,301,GEMM(11,5,2),1777300135173708109,1777300138955891021,1777300135164910925
1,0,341,GEMM(11,10,2),1777300138064501069,1777300139505506637,1777300135164909901
1,0,321,GEMM(12,7,2),1777300135084153165,1777300139513357645,1777300135084148045
1,0,329,GEMM(12,8,2),1777300137962943821,1777300139505506637,1777300137962933581
1,0,313,GEMM(13,6,2),1777300137958773069,1777300139100948813,1777300137948306765
1,0,337,GEMM(13,9,2),1777300135589596493,1777300139505506637,1777300135589592397
1,0,281,GEMM(14,3,2),1777300137573465421,1777300140616504653,1777300135066486093
1,0,293,GEMM(14,4,2),1777300139513357645,1777300140647312717,1777300139489802573
1,0,349,GEMM(14,11,2),1777300137573465421,1777300140240477517,1777300135164909901
1,0,353,GEMM(14,12,2),1777300139517105485,1777300140647314765,1777300139493548365
1,0,305,GEMM(15,5,2),1777300135084634445,1777300140620421453,1777300135084629325
1,0,345,GEMM(15,10,2),1777300138064501069,1777300140647313741,1777300135084630349
1,0,357,GEMM(15,13,2),1777300135512774989,1777300140338449741,1777300135084630349
1,0,361,POTRF(3,3),1777300139517105485,1777300140723041613,1777300139493548365
1,0,365,TRSM(7,3),1777300140723050829,1777300141193516365,1777300140723045709
1,0,369,TRSM(11,3),1777300140723050829,1777300141202429261,1777300140723046733
1,0,373,TRSM(15,3),1777300140723051853,1777300141207894349,1777300140723046733
1,0,397,SYRK(6,6,3),1777300143477414221,1777300144308526413,1777300140218960205
1,0,377,GEMM(7,4,3),1777300141248741709,1777300141708314957,1777300141193520461
1,0,389,GEMM(8,5,3),1777300141342675277,1777300141976807757,1777300140647312717
1,0,409,GEMM(9,7,3),1777300141358661965,1777300141993033037,1777300141193520461
1,0,417,GEMM(9,8,3),1777300141358661965,1777300144314302797,1777300140647312717
1,0,401,GEMM(10,6,3),1777300143477414221,1777300144314324301,1777300140322749773
1,0,425,GEMM(10,9,3),1777300142930159949,1777300143320508749,1777300141202427213
1,0,381,GEMM(11,4,3),1777300141248742733,1777300141993034061,1777300141202433357
1,0,437,SYRK(11,11,3),1777300141202437453,1777300144927362381,1777300141202433357
1,0,393,GEMM(12,5,3),1777300141716199757,1777300144314325325,1777300141699973453
1,0,433,GEMM(12,10,3),1777300142930159949,1777300143321245005,1777300141972635981
1,0,413,GEMM(13,7,3),1777300141341891917,1777300142178598221,1777300141193520461
1,0,421,GEMM(13,8,3),1777300144314324301,1777300144959058253,1777300144308526413
1,0,405,GEMM(14,6,3),1777300144314333517,1777300144959058253,1777300144314323277
1,0,429,GEMM(14,9,3),1777300143320516941,1777300144021244237,1777300143320506701
1,0,449,SYRK(14,14,3),1777300142841168205,1777300143076298061,1777300141993033037
1,0,385,GEMM(15,4,3),1777300141248742733,1777300145139013965,1777300141207898445
1,0,441,GEMM(15,11,3),1777300141207904589,1777300144959430989,1777300141207901517
1,0,445,GEMM(15,12,3),1777300141245094221,1777300144030977357,1777300141207899469
1,0,453,TRSM(5,4),1777300142827716941,1777300145458670925,1777300142178597197
1,0,457,TRSM(9,4),1777300144959429965,1777300145548669261,1777300144954941773
1,0,461,TRSM(13,4),1777300145201184077,1777300145617166669,1777300144954941773
1,0,465,GEMM(6,5,4),1777300146318184781,1777300146969354573,1777300145458675021
1,0,485,SYRK(7,7,4),1777300145924647245,1777300146096127309,1777300144009019725
1,0,477,GEMM(8,6,4),1777300148416670029,1777300148829237581,1777300143072494925
1,0,469,GEMM(10,5,4),1777300145746297165,1777300146005685581,1777300145458675021
1,0,509,SYRK(10,10,4),1777300145746298189,1777300146969356621,1777300144959429965
1,0,489,GEMM(11,7,4),1777300146192147789,1777300146808660301,1777300144021244237
1,0,497,GEMM(11,8,4),1777300148416670029,1777300148835112269,1777300145548668237
1,0,481,GEMM(12,6,4),1777300148959607117,1777300150098720077,1777300145617164621
1,0,505,GEMM(12,9,4),1777300148959607117,1777300150098718029,1777300145548673357
1,0,517,GEMM(13,11,4),1777300146192147789,1777300146817542477,1777300145617170765
1,0,521,GEMM(13,12,4),1777300148959608141,1777300150098719053,1777300145617170765
1,0,473,GEMM(14,5,4),1777300145625008461,1777300150099523917,1777300145458675021
1,0,513,GEMM(14,10,4),1777300146969359693,1777300150098718029,1777300146969354573
1,0,525,GEMM(14,13,4),1777300145625008461,1777300147107193165,1777300145617170765
1,0,493,GEMM(15,7,4),1777300148835115341,1777300150098719053,1777300148835111245
1,0,501,GEMM(15,8,4),1777300150098730317,1777300150394086733,1777300150098718029
1,0,529,SYRK(15,15,4),1777300150098729293,1777300150392940877,1777300150094101837
1,0,533,TRSM(8,5),1777300150766517581,1777300151181838669,1777300146808660301
1,0,537,TRSM(12,5),1777300150766517581,1777300151179319629,1777300150098717005
1,0,541,SYRK(6,6,5),1777300151289376077,1777300152177094989,1777300150099522893
1,0,553,GEMM(9,7,5),1777300152203295053,1777300153121425741,1777300150098717005
1,0,561,GEMM(9,8,5),1777300151181847885,1777300151796080973,1777300151181842765
1,0,545,GEMM(10,6,5),1777300151289376077,1777300152181331277,1777300147107192141
1,0,569,GEMM(10,9,5),1777300151271880013,1777300152181330253,1777300150098718029
1,0,581,SYRK(11,11,5),1777300152582309197,1777300153324558669,1777300150394084685
1,0,577,GEMM(12,10,5),1777300151271880013,1777300152148336973,1777300151179322701
1,0,557,GEMM(13,7,5),1777300152203295053,1777300153121425741,1777300150392939853
1,0,565,GEMM(13,8,5),1777300151181846861,1777300153050718541,1777300151181842765
1,0,549,GEMM(14,6,5),1777300153123551565,1777300153536027981,1777300153117270349
1,0,573,GEMM(14,9,5),1777300151807127885,1777300152695897421,1777300151782987085
1,0,593,SYRK(14,14,5),1777300152185972045,1777300153121425741,1777300152177094989
1,0,585,GEMM(15,11,5),1777300152582309197,1777300153320712525,1777300152177093965
1,0,589,GEMM(15,12,5),1777300152364535117,1777300153612630349,1777300151179322701
1,0,597,TRSM(7,6),1777300153946903885,1777300154387514701,1777300152137297229
1,0,601,TRSM(11,6),1777300153946902861,1777300154392402253,1777300153117270349
1,0,605,TRSM(15,6),1777300154212871501,1777300155040822605,1777300153038154061
1,0,609,GEMM(10,7,6),1777300154426617165,1777300154887712077,1777300154387518797
1,0,617,GEMM(10,8,6),1777300155288599885,1777300156309510477,1777300153536025933
1,0,625,GEMM(11,9,6),1777300154392410445,1777300154857590093,1777300154392405325
1,0,637,GEMM(12,11,6),1777300155289730381,1777300156371275085,1777300154392405325
1,0,641,SYRK(12,12,6),1777300155289731405,1777300156371277133,1777300153117270349
1,0,633,GEMM(13,10,6),1777300154426617165,1777300156345618765,1777300153316555085
1,0,645,SYRK(13,13,6),1777300154346453325,1777300154857838925,1777300153612629325
1,0,613,GEMM(14,7,6),1777300154387522893,1777300156371277133,1777300154387518797
1,0,621,GEMM(14,8,6),1777300155288599885,1777300156371277133,1777300154887710029
1,0,629,GEMM(15,9,6),1777300155040830797,1777300156566481229,1777300155040825677
1,0,649,GEMM(15,14,6),1777300155040829773,1777300155260894541,1777300155040825677
1,0,653,TRSM(9,7),1777300156371279181,1777300157132560717,1777300156360746317
1,0,657,TRSM(13,7),1777300156371286349,1777300157136347469,1777300156371275085
1,0,661,GEMM(9,8,7),1777300157383691597,1777300158100720973,1777300157132563789
1,0,669,GEMM(10,9,7),1777300157132568909,1777300157662129485,1777300157132564813
1,0,681,SYRK(11,11,7),1777300156744402253,1777300156886908237,1777300154857837901
1,0,677,GEMM(12,10,7),1777300157699847501,1777300158374547789,1777300156371275085
1,0,665,GEMM(13,8,7),1777300157383691597,1777300158104909133,1777300157136368973
1,0,673,GEMM(14,9,7),1777300157132568909,1777300157674707277,1777300157132564813
1,0,693,SYRK(14,14,7),1777300156849089869,1777300156990989645,1777300156566480205
1,0,685,GEMM(15,11,7),1777300156755513677,1777300158374547789,1777300155260893517
1,0,689,GEMM(15,12,7),1777300158104909133,1777300158488828237,1777300158096212301
1,0,697,TRSM(9,8),1777300158671000909,1777300159136539981,1777300158109097293
1,0,701,TRSM(13,8),1777300158671000909,1777300159077907789,1777300158113311053
1,0,705,GEMM(10,9,8),1777300159741182285,1777300160608983373,1777300159147400525
1,0,717,SYRK(11,11,8),1777300159074782541,1777300159369417037,1777300156886912333
1,0,713,GEMM(12,10,8),1777300159741183309,1777300160608985421,1777300158374552909
1,0,709,GEMM(14,9,8),1777300159739991373,1777300160598071629,1777300159147400525
1,0,729,SYRK(14,14,8),1777300159739991373,1777300160608984397,1777300156990993741
