pe,run,task_id,op_name,start_ts,end_ts,wait_start_ts
3,0,3,TRSM(3,0),1777300122172351559,1777300122805198919,1777300122001386567
3,0,7,TRSM(7,0),1777300122172351559,1777300123202596935,1777300122001529927
3,0,11,TRSM(11,0),1777300122172352583,1777300123043128391,1777300122001662023
3,0,15,TRSM(15,0),1777300122172352583,1777300123273772103,1777300122001797191
3,0,31,SYRK(2,2,0),1777300123240983623,1777300124361903175,1777300122001934407
3,0,19,GEMM(4,1,0),1777300122719037511,1777300123249458247,1777300122001948743
3,0,47,GEMM(5,3,0),1777300122822309959,1777300123445223495,1777300122813747271
3,0,59,GEMM(5,4,0),1777300122724844615,1777300123273772103,1777300122001977415
3,0,35,GEMM(6,2,0),1777300123343812679,1777300124662858823,1777300122001993799
3,0,71,GEMM(6,5,0),1777300123343812679,1777300124662858823,1777300123194027079
3,0,91,SYRK(7,7,0),1777300123236778055,1777300124357787719,1777300123219326023
3,0,23,GEMM(8,1,0),1777300123280352327,1777300124504259655,1777300123267268679
3,0,83,GEMM(8,6,0),1777300124386341959,1777300125788351559,1777300124337459271
3,0,51,GEMM(9,3,0),1777300122822310983,1777300124674988103,1777300122813747271
3,0,63,GEMM(9,4,0),1777300123464299591,1777300124822218823,1777300123427945543
3,0,39,GEMM(10,2,0),1777300123506652231,1777300124875470919,1777300123267268679
3,0,75,GEMM(10,5,0),1777300124679108679,1777300126072515655,1777300124646626375
3,0,115,SYRK(10,10,0),1777300124679108679,1777300126064340039,1777300124646626375
3,0,95,GEMM(11,7,0),1777300123245178951,1777300125681837127,1777300123228283975
3,0,103,GEMM(11,8,0),1777300123077558343,1777300125798710343,1777300123060623431
3,0,27,GEMM(12,1,0),1777300125806864455,1777300127265305671,1777300125768032327
3,0,87,GEMM(12,6,0),1777300124691225671,1777300126084661319,1777300124658741319
3,0,111,GEMM(12,9,0),1777300124844788807,1777300126247527495,1777300124799596615
3,0,55,GEMM(13,3,0),1777300122822309959,1777300126178371655,1777300122813747271
3,0,67,GEMM(13,4,0),1777300126092890183,1777300127482247239,1777300126052141127
3,0,123,GEMM(13,11,0),1777300123077558343,1777300127385548871,1777300123060624455
3,0,127,GEMM(13,12,0),1777300125704419399,1777300127159440455,1777300125659245639
3,0,43,GEMM(14,2,0),1777300125817256007,1777300127273387079,1777300125780239431
3,0,79,GEMM(14,5,0),1777300127281563719,1777300127900890183,1777300127249000519
3,0,119,GEMM(14,10,0),1777300126105043015,1777300127492619335,1777300126064340039
3,0,131,GEMM(14,13,0),1777300126272011335,1777300127572960327,1777300126223117383
3,0,99,GEMM(15,7,0),1777300123306952775,1777300127482247239,1777300123291533383
3,0,107,GEMM(15,8,0),1777300123298114631,1777300127925121095,1777300123285037127
3,0,135,SYRK(15,15,0),1777300123298114631,1777300127907181639,1777300123285037127
3,0,139,TRSM(4,1),1777300127958921287,1777300128482345031,1777300123258425415
3,0,143,TRSM(8,1),1777300127958921287,1777300128469670983,1777300124561177671
3,0,147,TRSM(12,1),1777300127958921287,1777300128480213063,1777300127297823815
3,0,151,SYRK(2,2,1),1777300129212210247,1777300129333261383,1777300124410664007
3,0,167,GEMM(5,3,1),1777300128755645511,1777300129091412039,1777300123483547719
3,0,179,GEMM(5,4,1),1777300128554139719,1777300128826571847,1777300128482351175
3,0,155,GEMM(6,2,1),1777300129506521159,1777300130975132743,1777300124695354439
3,0,191,GEMM(6,5,1),1777300129506521159,1777300130985128007,1777300124695354439
3,0,211,SYRK(7,7,1),1777300128750115911,1777300129092573255,1777300124406619207
3,0,203,GEMM(8,6,1),1777300129506521159,1777300130951529543,1777300128469678151
3,0,171,GEMM(9,3,1),1777300128755645511,1777300130978853959,1777300124707528775
3,0,183,GEMM(9,4,1),1777300128482357319,1777300130992992327,1777300128482351175
3,0,159,GEMM(10,2,1),1777300129335781447,1777300130300615751,1777300124926522439
3,0,195,GEMM(10,5,1),1777300129335782471,1777300130967261255,1777300126113238087
3,0,235,SYRK(10,10,1),1777300129335782471,1777300132220052551,1777300126105043015
3,0,215,GEMM(11,7,1),1777300128754852935,1777300132230019143,1777300125726963783
3,0,223,GEMM(11,8,1),1777300128754852935,1777300130312225863,1777300128469678151
3,0,207,GEMM(12,6,1),1777300129506521159,1777300132200393799,1777300128480220231
3,0,231,GEMM(12,9,1),1777300128480225351,1777300132222165063,1777300128480220231
3,0,175,GEMM(13,3,1),1777300128755644487,1777300132237873223,1777300126231265351
3,0,187,GEMM(13,4,1),1777300128718688327,1777300131667528775,1777300128482351175
3,0,243,GEMM(13,11,1),1777300128754853959,1777300132216125511,1777300127422583879
3,0,247,GEMM(13,12,1),1777300128718688327,1777300133262437447,1777300128480219207
3,0,163,GEMM(14,2,1),1777300129212211271,1777300133262437447,1777300127305919559
3,0,199,GEMM(14,5,1),1777300129196489799,1777300131679341639,1777300127907180615
3,0,239,GEMM(14,10,1),1777300129335782471,1777300133262435399,1777300127515216967
3,0,251,GEMM(14,13,1),1777300129196489799,1777300133262437447,1777300127585571911
3,0,219,GEMM(15,7,1),1777300128759560263,1777300133263577159,1777300127504808007
3,0,227,GEMM(15,8,1),1777300128759560263,1777300132822368327,1777300128469678151
3,0,255,SYRK(15,15,1),1777300128759560263,1777300133262436423,1777300127907186759
3,0,259,TRSM(5,2),1777300134446784583,1777300134955661383,1777300133262435399
3,0,263,TRSM(9,2),1777300134446784583,1777300135151281223,1777300133262435399
3,0,267,TRSM(13,2),1777300134446784583,1777300135488207943,1777300131657549895
3,0,271,GEMM(4,3,2),1777300135074473031,1777300135949347911,1777300133254574151
3,0,283,SYRK(4,4,2),1777300134972632135,1777300135745677383,1777300133262435399
3,0,295,SYRK(5,5,2),1777300134955669575,1777300135608268871,1777300134955665479
3,0,307,GEMM(7,6,2),1777300137279612999,1777300138063516743,1777300133263576135
3,0,275,GEMM(8,3,2),1777300135074473031,1777300135949347911,1777300132804164679
3,0,287,GEMM(8,4,2),1777300134972632135,1777300135745677383,1777300133262434375
3,0,299,GEMM(9,5,2),1777300135218019399,1777300136022638663,1777300135190479943
3,0,319,GEMM(10,7,2),1777300138073624647,1777300139197823047,1777300135471486023
3,0,327,GEMM(10,8,2),1777300138073624647,1777300139197824071,1777300135945273415
3,0,311,GEMM(11,6,2),1777300137279614023,1777300138008151111,1777300135733459015
3,0,335,GEMM(11,9,2),1777300135205073991,1777300136119395399,1777300135176139847
3,0,279,GEMM(12,3,2),1777300138073624647,1777300139197824071,1777300138051465287
3,0,291,GEMM(12,4,2),1777300135953431623,1777300139201802311,1777300135945274439
3,0,347,GEMM(12,11,2),1777300135757957191,1777300138037196871,1777300135733459015
3,0,351,SYRK(12,12,2),1777300136022644807,1777300136196611143,1777300136022636615
3,0,303,GEMM(13,5,2),1777300135575283783,1777300139881741383,1777300135540118599
3,0,343,GEMM(13,10,2),1777300138073624647,1777300139881741383,1777300135523403847
3,0,355,SYRK(13,13,2),1777300135556748359,1777300139095554119,1777300135523403847
3,0,323,GEMM(14,7,2),1777300137570238535,1777300138671458375,1777300136119394375
3,0,331,GEMM(14,8,2),1777300139201803335,1777300139897484359,1777300139193945159
3,0,315,GEMM(15,6,2),1777300139205697607,1777300139898634311,1777300139197824071
3,0,339,GEMM(15,9,2),1777300135205073991,1777300139123240007,1777300135176139847
3,0,359,GEMM(15,14,2),1777300137570238535,1777300138679320647,1777300136196610119
3,0,363,TRSM(5,3),1777300140723078215,1777300141342700615,1777300139877957703
3,0,367,TRSM(9,3),1777300140723079239,1777300141351616583,1777300139877957703
3,0,371,TRSM(13,3),1777300140723079239,1777300141338737735,1777300139079835719
3,0,375,GEMM(5,4,3),1777300141342709831,1777300141769638983,1777300141342704711
3,0,387,GEMM(6,5,3),1777300143477853255,1777300144461814855,1777300141342704711
3,0,407,SYRK(7,7,3),1777300141193630791,1777300141351616583,1777300139897482311
3,0,399,GEMM(8,6,3),1777300143477853255,1777300144465491015,1777300139898633287
3,0,379,GEMM(9,4,3),1777300141351626823,1777300141784296519,1777300141351621703
3,0,391,GEMM(10,5,3),1777300142933492807,1777300144465489991,1777300141342705735
3,0,431,SYRK(10,10,3),1777300142933492807,1777300143353340999,1777300138661377095
3,0,411,GEMM(11,7,3),1777300141338741831,1777300144465511495,1777300141338736711
3,0,419,GEMM(11,8,3),1777300141769642055,1777300142201475143,1777300141769637959
3,0,403,GEMM(12,6,3),1777300144465491015,1777300145201218631,1777300144457350215
3,0,427,GEMM(12,9,3),1777300141351625799,1777300143353499719,1777300141351621703
3,0,383,GEMM(13,4,3),1777300141338750023,1777300145197216839,1777300141338742855
3,0,439,GEMM(13,11,3),1777300141338750023,1777300142202630215,1777300141338742855
3,0,443,GEMM(13,12,3),1777300141338748999,1777300145201219655,1777300141338743879
3,0,395,GEMM(14,5,3),1777300142841202759,1777300144186504263,1777300141342705735
3,0,435,GEMM(14,10,3),1777300144465516615,1777300145202172999,1777300144465510471
3,0,447,GEMM(14,13,3),1777300142841203783,1777300143229412423,1777300141338743879
3,0,415,GEMM(15,7,3),1777300145201222727,1777300145519395911,1777300145201203271
3,0,423,GEMM(15,8,3),1777300143353502791,1777300144214908999,1777300143353497671
3,0,451,SYRK(15,15,3),1777300145201203271,1777300145519187015,1777300145188583495
3,0,455,TRSM(7,4),1777300142827752519,1777300145924679751,1777300142202629191
3,0,459,TRSM(11,4),1777300145201224775,1777300146192176199,1777300145201218631
3,0,463,TRSM(15,4),1777300145151683655,1777300146188504135,1777300144169896007
3,0,475,SYRK(6,6,4),1777300146313348167,1777300146633410631,1777300145202171975
3,0,467,GEMM(8,5,4),1777300148416713799,1777300149600216135,1777300143224534087
3,0,487,GEMM(9,7,4),1777300145924688967,1777300146192565319,1777300145924683847
3,0,495,GEMM(9,8,4),1777300148416714823,1777300149608071239,1777300145519394887
3,0,479,GEMM(10,6,4),1777300146313349191,1777300146634500167,1777300144202743879
3,0,503,GEMM(10,9,4),1777300145746753607,1777300149604056135,1777300145518942279
3,0,515,SYRK(11,11,4),1777300146192187463,1777300146314563655,1777300146192183367
3,0,471,GEMM(12,5,4),1777300148975093831,1777300150151229511,1777300146188503111
3,0,511,GEMM(12,10,4),1777300148975093831,1777300150155144263,1777300146633408583
3,0,491,GEMM(13,7,4),1777300145924687943,1777300150406383687,1777300145924683847
3,0,499,GEMM(13,8,4),1777300148416714823,1777300149545192519,1777300146192564295
3,0,483,GEMM(14,6,4),1777300149619777607,1777300150436453447,1777300149596195911
3,0,507,GEMM(14,9,4),1777300146634503239,1777300150155145287,1777300146634499143
3,0,527,SYRK(14,14,4),1777300149615928391,1777300150436452423,1777300149592358983
3,0,519,GEMM(15,11,4),1777300146192189511,1777300149588334663,1777300146192185415
3,0,523,GEMM(15,12,4),1777300148975093831,1777300150529947719,1777300146188509255
3,0,531,TRSM(6,5),1777300150766566471,1777300151281714247,1777300150145012807
3,0,535,TRSM(10,5),1777300150766565447,1777300151271923783,1777300150398512199
3,0,539,TRSM(14,5),1777300150766565447,1777300151410852935,1777300149521591367
3,0,551,SYRK(7,7,5),1777300152205421639,1777300152394286151,1777300150436451399
3,0,543,GEMM(8,6,5),1777300151281738823,1777300151922596935,1777300151281728583
3,0,575,SYRK(10,10,5),1777300151271930951,1777300151895049287,1777300151271927879
3,0,555,GEMM(11,7,5),1777300152565550151,1777300153273781319,1777300150145012807
3,0,563,GEMM(11,8,5),1777300152565551175,1777300153273782343,1777300150436451399
3,0,547,GEMM(12,6,5),1777300151281738823,1777300151926528071,1777300151281728583
3,0,571,GEMM(12,9,5),1777300151179504711,1777300151922596935,1777300150529946695
3,0,583,GEMM(13,11,5),1777300152565551175,1777300153273781319,1777300151400836167
3,0,587,GEMM(13,12,5),1777300152394294343,1777300153282497607,1777300152394285127
3,0,579,GEMM(14,10,5),1777300151464478791,1777300152275433543,1777300151442740295
3,0,591,GEMM(14,13,5),1777300151452757063,1777300152267186247,1777300151432591431
3,0,559,GEMM(15,7,5),1777300153273790535,1777300153628081223,1777300153273779271
3,0,567,GEMM(15,8,5),1777300153273790535,1777300153628999751,1777300153273780295
3,0,595,SYRK(15,15,5),1777300152348914759,1777300152484611143,1777300151922595911
3,0,599,TRSM(9,6),1777300153946957895,1777300154335286343,1777300151918656583
3,0,603,TRSM(13,6),1777300153946957895,1777300154346503239,1777300153273780295
3,0,607,GEMM(8,7,6),1777300155288655943,1777300155961794631,1777300153278298183
3,0,615,SYRK(8,8,6),1777300155288655943,1777300155977598023,1777300152275432519
3,0,623,SYRK(9,9,6),1777300154335293511,1777300154837416007,1777300154335289415
3,0,631,GEMM(11,10,6),1777300154424656967,1777300154988322887,1777300152263320647
3,0,611,GEMM(12,7,6),1777300155289787463,1777300155977559111,1777300153628079175
3,0,619,GEMM(12,8,6),1777300155289786439,1777300155987128391,1777300153628997703
3,0,627,GEMM(13,9,6),1777300154346517575,1777300154886448199,1777300154346508359
3,0,639,GEMM(14,11,6),1777300154397289543,1777300154989815879,1777300154346501191
3,0,643,GEMM(14,12,6),1777300155970578503,1777300156372834375,1777300155955540039
3,0,635,GEMM(15,10,6),1777300155977602119,1777300156373366855,1777300155977593927
3,0,647,GEMM(15,13,6),1777300155040882759,1777300155289165895,1777300154346507335
3,0,651,POTRF(7,7),1777300154988326983,1777300155220934727,1777300154988321863
3,0,655,TRSM(11,7),1777300155288737863,1777300156744456263,1777300155220938823
3,0,659,TRSM(15,7),1777300155245938759,1777300156755137607,1777300155220938823
