metric,baseline,Slack-Aware,ratio
EDP,1277094.53605871,1293496.1984693937,1.0128429508917183
ED$^2$P,150847540.2841914,152266531.29494074,1.0094067891864595
E$^2$DP,13808004103.958757,14016367950.120619,1.015090077073639
Mean Energy (J),10597.306000000051,10607.10479999967,1.0009246500949975
Mean Time (s),114.40709867519999,115.8989835264,1.0130401423379807
