metric,baseline,Slack-Aware,ratio
EDP,693986.7991367917,686000.5344736617,0.98849219513532
ED$^2$P,59683394.74739268,58761311.60579851,0.9845504240250267
E$^2$DP,5559821533.519881,5493914307.594067,0.9881458018879808
Mean Energy (J),7871.321199999982,7899.0042000001295,1.003516944525164
Mean Time (s),85.34523264,85.37115729920001,1.0003037622418742
